,Title,Intervention Area
475,elevate collective consumer voice financial regulation,Digital Inclusion
476,embed finance ecommerce platform covid pandemic english,Digital Finance
477,embed finance ecommerce platform covid pandemic english,Digital Finance
478,embed knowledge transfer citizen engagement africa develop literacy,Digital Literacy
479,embed knowledge transfer citizen engagement africa develop literacy,Upskilling/ Capacity Building
480,empower palestinian girl learn innovation stem field,Digital Literacy
481,enable crossborder data flow asean,Policy & Regulation or Digital Services
482,encourage formal financial service garment worker rollout electronic payment system bangaldesh,Digital Finance
483,endofproject performance evaluation usaidghanas communicate health ch,Data Systems & Development
484,engage office embed finance,Digital Finance
485,engage office embed finance,Digital Inclusion
486,engage youth agriculture communication technology,Digital Infrastructure Development
487,engage youth agriculture communication technology,Upskilling/ Capacity Building
488,enhance knowledge behavior fieldworker promote family plan maternal newborn child health health training package pilot study,Digital Information Services
489,enhance knowledge behavior fieldworker promote family plan maternal newborn child health health training package pilot study,Digital Inclusion
490,ensure safety child article business human review,Child Protection
491,equal access society,Digital Inclusion
492,equal access society,Upskilling/ Capacity Building
493,ereadiness public university library mobile phone provision library service,Digital Information Services
494,ereadiness public university library mobile phone provision library service,Digital Literacy
495,ereadiness public university library mobile phone provision library service,Digital Infrastructure Development
496,establish educational support adolescent mother republic usercentered design,Digital Information Services
497,establish educational support adolescent mother republic usercentered design,Digital Information Services
498,estimate credit experiment airtel,Digital Finance
499,estimate credit experiment airtel,Digital Finance
500,estimate credit experiment airtel,Digital Inclusion
501,estimate credit experiment airtel,Digital Inclusion
502,ethic governance epidemiology,E-government
503,europe asia economic update spring data digitalization governance,E-government
504,evaluate samas train job program nairobi,Upskilling/ Capacity Building
505,evaluate samas train job program nairobi,Upskilling/ Capacity Building
506,evaluate save life birth evaluation round,Child Protection
507,evaluate impact ict teach learn study palestinian student teacher perception,Policy & Regulation or Digital Services
508,evaluate impact ict teach learn study palestinian student teacher perception,Upskilling/ Capacity Building
509,evaluate prudency cybersecurity investment guideline energy regulator,Cybersecurity
510,evaluation ict economic growth africa,Digital Infrastructure Development
511,evaluation ict economic growth africa,Digital Inclusion
512,evaluation key security issue associate mobile money system,Cybersecurity
513,evaluation key security issue associate mobile money system,Digital Finance
514,evaluation integrate national monitoring assessment system forest ecosystems simef,Data Systems & Development
515,evidence base collaboration learn adaptation ebcla final,Digital Finance
516,evidence google trend widen secondlevel divide covid,Digital Inclusion
517,expand develop small business online platform trade,Digital Finance
518,expand capacity otolaryngologist mobile technology,Digital Information Services
519,expand capacity otolaryngologist mobile technology,Data Systems & Development
520,experience personal data protection thte internet possibility recognition enforcement,Data Privacy
521,exploration youth competency dataset educational,Digital Literacy
522,explore blockchain applicationsto agricultural finance,Digital Finance
523,explore blockchain application agricultural finance,Digital Finance
524,explore fairness machine learn international,Data Systems & Development
525,explore fairness machine learn international,Data Systems & Development
526,explore fairness machine learn international,Data Systems & Development
527,explore sme cybersecurity practice develop,Cybersecurity
528,explore mobile money service tea saccos challenge opportunity,Data Systems & Development
529,explore mobile money service tea saccos challenge opportunity,Digital Inclusion
530,external evaluation mobile phone technologybased nutrition agriculture advisory service africa mobile phone nutrition health business model endline,Digital Literacy
531,external evaluation mobile phone technologybased nutrition agriculture advisory service africa mobile phone nutrition health business model endline,Digital Literacy
532,facilitate trade logistics ecommerce building block challenge forward,Policy & Regulation or Digital Services
533,facilitator barrier chronic disease selfmanagement mobile health intervention people live diabetes hypertension qualitative study,Digital Information Services
534,factor ict service,Digital Information Services
535,factor ict service,Digital Inclusion
536,factor ict service,Upskilling/ Capacity Building
537,factor communication technology icts marketing grain woman benue,Digital Inclusion
538,factor communication technology icts marketing grain woman benue,Digital Inclusion
539,factor impact mobile banking empirical extend utaut perceive trust,Digital Finance
540,factor influence adoption mobile payment system,Digital Finance
541,factor influence adoption mobile payment system,Data Systems & Development
542,factor influence library distance education,E-government
543,factor influence library distance education,Data Systems & Development
544,factor influence library distance education,Digital Literacy
545,factor influence participation unhygienic cyber practice pilot study,Data Privacy
546,factor influence participation unhygienic cyber practice pilot study,Cybersecurity
547,fair play ensure competition financial service,Digital Finance
548,farmer perception quality mobilebased extension service comparison public private provision,E-government
549,farmer perception quality mobilebased extension service comparison public private provision,Digital Information Services
550,farmer mobile phone access agricultural,Digital Information Services
551,farmer mobile phonebased farm advisory service punjab,Digital Information Services
552,farmer mobile phonebased farm advisory service punjab,Digital Literacy
553,farmer mobile phonebased farm advisory service punjab,Upskilling/ Capacity Building
554,farmer mobile phonebased farm advisory service punjab,Digital Inclusion
555,feed future agriculture assessment followon updated review agtech landscape feed future,Digital Finance
556,feed future naatal mbay capitalization note datadriven agriculture,Digital Literacy
557,feed future naatal mbay capitalization note datadriven agriculture,Data Systems & Development
558,female smallholder financial inclusion agenda,Digital Inclusion
559,female smallholder financial inclusion agenda,Digital Inclusion
560,fidelity implementation prospera evaluation multisite mhealth intervention aim improve maternal health outcome,Digital Information Services
561,financial inclusion poverty alleviation mobile loan rate financial performance smes urban informal settlement,Digital Finance
562,financial inclusion poverty alleviation mobile loan rate financial performance smes urban informal settlement,Digital Inclusion
563,financial inclusion payment policy consideration saving,Digital Finance
564,financial inclusion payment policy consideration saving,Digital Inclusion
565,financial inclusion europe asia region trend agenda english,Digital Finance
566,financial inclusion europe asia region trend agenda english,Digital Inclusion
567,financial inclusion findex survey english,Digital Finance
568,financial inclusion findex survey english,Digital Inclusion
569,financial inclusion disrupt liquidity redundancy mobile money agent,Digital Finance
570,financial insurance pension digitalization finance,Digital Finance
571,financial insurance pension digitalization finance,Policy & Regulation or Digital Services
572,financial sector transformation cryptocurrencies technology regulation,Digital Finance
573,financial sector cybersecurity regulation supervision,Cybersecurity
574,financial sector cybersecurity regulation supervision,Digital Finance
575,financial sector cybersecurity regulation supervision english,Cybersecurity
576,financial sector cybersecurity regulation supervision english,Digital Finance
577,fintech household resilience shock evidence loan,Digital Finance
578,fintech partnership playbook,Digital Finance
579,fintechs financial inclusion,Digital Finance
580,fintechs financial inclusion,Digital Finance
581,fintechs financial inclusion,Digital Inclusion
582,fintechs financial inclusion,Digital Inclusion
583,aml technology help address derisking dilemma,Policy & Regulation or Digital Services
584,aml technology help address derisking dilemma,Policy & Regulation or Digital Services
585,challenge field alternative radical citizen medium,Digital Inclusion
586,fourth economic update enhance financial inclusion africa region english,Digital Finance
587,fourth economic update enhance financial inclusion africa region english,Digital Finance
588,fourth economic update enhance financial inclusion africa region english,Digital Inclusion
589,fourth economic update enhance financial inclusion africa region english,Digital Inclusion
590,frame policy economy,Digital Finance
591,free financial education tablet experimental evidence,Digital Literacy
592,free financial education tablet experimental evidence,Digital Literacy
593,free financial education tablet experimental evidence,Digital Finance
594,free financial education tablet experimental evidence,Digital Finance
595,agent three,Digital Finance
596,integration innovation implement evolve api strategy,Policy & Regulation or Digital Services
597,national identity legitimacy mobilize digitally network public eastern,Digital Inclusion
598,paper map map enhance routine immunisation microplanning northern,Digital Infrastructure Development
599,paper map map enhance routine immunisation microplanning northern,Data Systems & Development
600,social banking financial inclusion journey banking,Digital Finance
601,social banking financial inclusion journey banking,Digital Inclusion
602,web web heritage platform unescos heritage property,Digital Information Services
603,web web heritage platform unescos heritage property,Data Systems & Development
604,fuel subsidy reform green tax technology improve capacity effectiveness,Digital Inclusion
605,fuel trade mercosur regulatory roadmap,Policy & Regulation or Digital Services
606,future food harness technology improve food system outcome,Digital Finance
607,future food harness technology improve food system outcome,Data Systems & Development
608,identity onboarding,Digital Finance
609,gap global monitoring evaluation adolescent youth reproductive health,Data Systems & Development
610,gender icts mainstreaming gender communication technology icts agriculture rural,Digital Inclusion
611,gender icts mainstreaming gender communication technology icts agriculture rural,Digital Inclusion
612,gender divide urban slum delhi crosssectional study,Digital Inclusion
613,gender divide urban slum delhi crosssectional study,Digital Inclusion
614,gender difference ict small business owner,Digital Finance
615,gender divide interregional analysis uttar pradesh,Digital Inclusion
616,gender divide interregional analysis uttar pradesh,Digital Inclusion
617,gender divide mayaspeaking southern,E-government
618,gender divide mayaspeaking southern,Digital Literacy
619,gender dynamic health overcome blind spots bias seize opportunity responsibility transformative health system,Digital Inclusion
620,gender dynamic health overcome blind spots bias seize opportunity responsibility transformative health system,Digital Inclusion
621,gender equality big data gender data visible,Data Systems & Development
622,gender medium icts education training,Policy & Regulation or Digital Services
623,gender medium icts education training,Policy & Regulation or Digital Services
624,georgias innovation strategy recommendation,Policy & Regulation or Digital Services
625,georgias innovation strategy recommendation,Digital Finance
626,economy diagnostic stocktaking english,Policy & Regulation or Digital Services
627,economy diagnostic stocktaking english,Digital Inclusion
628,agenda impact zipline drone technology emergency health delivery,E-government
629,agenda impact zipline drone technology emergency health delivery,Digital Infrastructure Development
630,gig platform study online support tool forums amt crowdworkers,Digital Finance
631,gig platform study sweepsouth platformbased domestic,Digital Information Services
632,global cybersecurity capacity program lesson learn recommendation strengthen program english,Cybersecurity
633,global health science practice supp health health system future,Data Systems & Development
634,global preparedness covid leverage power health,Data Systems & Development
635,full distance strategic support library distance education university education winneba,E-government
636,full distance strategic support library distance education university education winneba,Digital Infrastructure Development
637,governance innovation connect protect free expression diversity civic engagement global ecosystem,E-government
638,governance innovation connect protect free expression diversity civic engagement global ecosystem,Policy & Regulation or Digital Services
639,govern big tech pursuit billion user,Policy & Regulation or Digital Services
640,govern data trend challenge opportunity,E-government
641,growth prospect challenge policy measure evolution mobile broadband,Policy & Regulation or Digital Services
642,growth prospect challenge policy measure evolution mobile broadband,Digital Infrastructure Development
643,hack chinas cybersecurity law,Cybersecurity
644,harness emerge technology datanet operation,E-government
645,harness emerge technology datanet operation,Policy & Regulation or Digital Services
646,harness transparency initiative improve indias environmental clearance mineral mining sector,E-government
647,harness transparency initiative improve indias environmental clearance mineral mining sector,Data Systems & Development
648,health people national health worker program,Data Systems & Development
649,health system strengthen standard best practice data source,Data Systems & Development
650,hello mama implementation road map,Data Systems & Development
651,heterogeneous impact internet availability female labour outcome emerge economy,Digital Inclusion
652,heterogeneous impact internet availability female labour outcome emerge economy,Digital Inclusion
653,highsaving youth smallholder household untapped,Data Systems & Development
654,highsaving youth smallholder household untapped,Digital Inclusion
655,covid expose cyber risk health sector paradigm shift building cybersecurity resilience,Cybersecurity
656,ict shape refugee governance landscape transitional,Digital Inclusion
657,big data transparency command protect people coronavirus,E-government
658,visible student politics performativity public space,Digital Information Services
659,visible student politics performativity public space,Digital Inclusion
660,humanitarian cash transfer financial inclusion,Digital Finance
661,humanitarian cash transfer financial inclusion,Digital Inclusion
662,ichealth largescale health data evidencebased cardiovascular medication hospitalization epidemiological characteristic heart failure patient,Data Systems & Development
663,ict driver economic growth survey literature direction future,Digital Infrastructure Development
664,ict driver economic growth survey literature direction future,Digital Inclusion
665,ict empowers rural woman evidence poor county,Digital Inclusion
666,idb paper series gender labor gap economy,Upskilling/ Capacity Building
667,identification revolution harness,E-government
668,identify address challenge face student visual impairment access education learn relation ict tertiary education,Digital Inclusion
669,identify verify customer kyc requirement constraint financial inclusion,Digital Finance
670,identify verify customer kyc requirement constraint financial inclusion,Digital Inclusion
671,identity crime age malaysian mauritanian legal framework,Cybersecurity
672,immunization data evidence action idea realist review improve data immunization,Data Systems & Development
673,impact alternate wet dry farm income water saving,Digital Information Services
674,impact alternate wet dry farm income water saving,Digital Literacy
675,impact alternate wet dry farm income water saving,Digital Information Services
676,impact alternate wet dry farm income water saving,Data Systems & Development
677,impact alternate wet dry farm income water saving,Data Systems & Development
678,impact alternate wet dry farm income water saving,Digital Literacy
679,impact creative capacity build local innovator communities income welfare attitude,Upskilling/ Capacity Building
680,impact creative capacity build local innovator communities income welfare attitude,Digital Inclusion
681,impact creative capacity build local innovator communities income welfare attitude,Digital Inclusion
682,impact creative capacity build local innovator communities income welfare attitude,Upskilling/ Capacity Building
683,impact cybercrime trust ecommerce technology application theory plan behavior,Digital Finance
684,impact cybercrime trust ecommerce technology application theory plan behavior,Cybersecurity
685,impact cybercrime ebusiness trust,Cybersecurity
686,impact demonetization diffusion mobile payment service antecedent behavioral intention adoption extend utaut model,Digital Finance
687,impact finance financial inclusion stability,Digital Finance
688,impact marketing capability performance small medium enterprise agroprocessors harare,Digital Finance
689,impact marketing capability performance small medium enterprise agroprocessors harare,Upskilling/ Capacity Building
690,impact technology train english science technology teacher,Upskilling/ Capacity Building
691,impact ictsinagriculture rural resilience develop,Data Systems & Development
692,impact ictsinagriculture rural resilience develop,Digital Inclusion
693,impact online computer assist learning education evidence randomize control trial,Upskilling/ Capacity Building
694,impact technological pedagogical knowledge teacher proficiency classroom high education institution,Upskilling/ Capacity Building
695,impact voice reminder reinforce harvest aggregation service training farmer,Data Systems & Development
696,impact voice reminder reinforce harvest aggregation service training farmer,Data Systems & Development
697,impact voice reminder reinforce harvest aggregation service training farmer,Data Systems & Development
698,impact communityled video education increase vaccination coverage uttar pradesh,Digital Inclusion
699,impact communityled video education increase vaccination coverage uttar pradesh,Digital Inclusion
700,impact ircs child engagement strategy increase immunisation northern,Digital Literacy
701,impact ircs child engagement strategy increase immunisation northern,Digital Literacy
702,impact ircs child engagement strategy increase immunisation northern,Digital Inclusion
703,impact ircs child engagement strategy increase immunisation northern,Digital Inclusion
704,improve marketing strategy jordanian air aviation sector regional training center,Upskilling/ Capacity Building
705,improve emergency response upgrade technology system respond covid,Data Systems & Development
706,improve global health supply chain traceability,Data Systems & Development
707,improve lastmile service delivery phonebased monitoring,Digital Finance
708,improve lastmile service delivery phonebased monitoring,Digital Information Services
709,improve learn outcome lesson rigorous evidence,E-government
710,improve local tax collection technology,E-government
711,improve local tax collection technology,Digital Finance
712,improve mental health care develop technology mini narrative review chilean,Child Protection
713,improve district health plan,E-government
714,improve track traceability food aid feasibility study,Digital Information Services
715,improve track traceability food aid feasibility study,Digital Infrastructure Development
716,inclusion matter africa,E-government
717,inclusion matter africa,E-government
718,inclusion matter africa,Digital Inclusion
719,inclusion matter africa,Digital Inclusion
720,inclusive banking emerge study,Digital Finance
721,inclusive banking emerge study,Digital Inclusion
722,increase citizen voice government responsiveness success decides,E-government
723,increase citizen voice government responsiveness success decides,Digital Inclusion
724,increase banking adoption usage trend impact financial inclusion,Digital Finance
725,increase banking adoption usage trend impact financial inclusion,Digital Inclusion
726,increase full child immunization rate government innovative computerize immunization list rural,Data Systems & Development
727,increase sme access finance mena region,Digital Finance
728,increase sme access finance mena region,Digital Finance
729,increase sme access finance mena region,Digital Infrastructure Development
730,increase student learn phonebased program covid,Digital Literacy
731,increase student learn phonebased program covid,Digital Inclusion
732,increase woman access finance technology,Digital Finance
733,increase woman access finance technology,Digital Finance
734,indias personal datasharing,Digital Infrastructure Development
735,indias personal datasharing,Cybersecurity
736,indigenously developed handheld androidbased geographic system gistagged tablet tabs malaria elimination programme mangaluru city karnataka,Digital Information Services
737,agrovalue chain assessment background paper issue option promote agriculture english,Digital Finance
738,indonesian defense industry strategy responses cyber threat support defense,Cybersecurity
739,inequality communicative struggle global communication social progress,Digital Inclusion
740,inequality gender inclusion minimum ict policy threshold promote female employment subsaharan africa,Policy & Regulation or Digital Services
741,inequality gender inclusion minimum ict policy threshold promote female employment subsaharan africa,Digital Inclusion
742,inflection point impact threats sustainability study latin american medium entrepreneur,Digital Inclusion
743,influence high education choice customize application platform republic,Digital Information Services
744,influence high education choice customize application platform republic,Digital Inclusion
745,communication technology smallscale fishery ictssf handbook fishery stakeholder,Digital Information Services
746,communication technology agricultural advice smallholder farmer experimental evidence,Upskilling/ Capacity Building
747,communication technology communityled total sanitation clts landscape assessment,Data Systems & Development
748,communication technology icts crisis communication principle covid response,E-government
749,communication technology diffusion financial inclusion interstate analysis,Digital Finance
750,communication technology diffusion financial inclusion interstate analysis,Digital Inclusion
751,forgotten emerge threat medium freedom age,Policy & Regulation or Digital Services
752,technology government decentralization experimental evidence,E-government
753,technology government decentralization experimental evidence,Digital Information Services
754,innovate government platform lowincome dynamic capability woredas,E-government
755,innovate government platform lowincome dynamic capability woredas,Policy & Regulation or Digital Services
756,innovation cooperation emerge trajectory implication inclusive sustainable st century,Digital Inclusion
757,innovation education improve learn outcome ict technology,Digital Inclusion
758,innovative business model expand fiberoptic network close access gap main english,Digital Infrastructure Development
759,inovative business model small farmer inclusion,Digital Infrastructure Development
760,instrumentalising adolescent engagement icts low middleincome,Child Protection
761,instrumentalising adolescent engagement icts low middleincome,Digital Inclusion
762,integrate mobile webbased application enhance delivery hivaids healthcare,Data Systems & Development
763,integrate cyber capacity agenda,Cybersecurity
764,internet village motoman rural bridging divide,Digital Inclusion
765,interoperability finance emerge guidance funders,Digital Inclusion
766,investigate risk opportunies child rapid review evidence childrens internet outcome,Child Protection
767,investigate nexus mobile apps adoption privacy concern user empirical analysis,Data Privacy
768,investigate usability mobile health application,Digital Information Services
769,investigate usability mobile health application,Digital Inclusion
770,invest communication technology reach gender equality empower rural woman,Digital Inclusion
771,invest communication technology reach gender equality empower rural woman,Digital Inclusion
772,economic monitor navigate perfect storm redux,Digital Finance
773,economic monitor navigate perfect storm redux english,Digital Infrastructure Development
774,economic monitor navigate perfect storm redux english,Upskilling/ Capacity Building
775,data privacy fundamental analysis recommendation policy legal perspective,Data Privacy
776,data privacy fundamental analysis recommendation policy legal perspective,Policy & Regulation or Digital Services
777,data privacy business,Policy & Regulation or Digital Services
778,isolate tech edtech experimental evidence computer assist learning,E-government
779,iwmi gender inclusion strategy,Digital Infrastructure Development
780,iwmi gender inclusion strategy,Digital Inclusion
781,iwmi gender inclusion strategy,Digital Inclusion
782,jio spark disruption infrastructural imaginary platform ecosystem,Digital Infrastructure Development
783,job amenability evidence skill survey,Digital Infrastructure Development
784,medium assessment white paper government medium outreach age covid,Digital Literacy
785,jordanian syrian refugee remittances financial service,Digital Finance
786,jordanian syrian refugee remittances financial service,Digital Inclusion
787,simple field experiment share social network,Digital Finance
788,simple field experiment share social network,Policy & Regulation or Digital Services
789,child engage distance learn key finding recovr survey,E-government
790,health financing system assessment pick best path,Digital Finance
791,landuse planning technology environmental conservation,E-government
792,landuse planning technology environmental conservation,E-government
793,landuse planning technology environmental conservation,Digital Inclusion
794,landuse planning technology environmental conservation,Digital Inclusion
795,leading school digitally evaluation electronic school plan budget system erkas,Digital Finance
796,leading school digitally evaluation electronic school plan budget system erkas,Data Systems & Development
797,leading school digitally evaluation electronic school plan budget system erkas,Data Systems & Development
798,learn navigate financial technology evidence payroll account,Digital Finance
799,leave,Digital Inclusion
800,leave perspective direction dfid multicadre conference,Data Systems & Development
801,legislative framework cybercrime budapest convention asia,Cybersecurity
802,legislative framework cybercrime budapest convention asia,Upskilling/ Capacity Building
803,economy diagnostic english,Digital Finance
804,lesson program implement mobile alliance maternal action program africa,Data Systems & Development
805,real informal sector gig economy future africa,Data Systems & Development
806,leverage financial solution promote formal business participation,Digital Finance
807,leverage solution fight covid lesson asean,E-government
808,leverage ict technology close gender gap english,Digital Inclusion
809,leverage ict technology close gender gap english,Digital Inclusion
810,leverage phonebased mobile technology improve data quality health facility rural best practice,E-government
811,leverage phonebased mobile technology improve data quality health facility rural best practice,Data Systems & Development
812,link open change education data generate idea,Data Systems & Development
813,linkedinto job opportunity experimental evidence job readiness training,Digital Information Services
814,linkedinto job opportunity experimental evidence job readiness training,Upskilling/ Capacity Building
815,maintenance affordances structural inequality mobile phone lowincome woman kingdom,Digital Inclusion
816,maintenance affordances structural inequality mobile phone lowincome woman kingdom,Digital Inclusion
817,informal settlement visible datafication study quarry road west informal settlement durban africa,Data Systems & Development
818,agricultural chain inclusive technology innovation,Digital Inclusion
819,impact usindonesia investment,Digital Finance
820,impact usindonesia investment,Digital Finance
821,impact usindonesia investment,Digital Infrastructure Development
822,data poor,Policy & Regulation or Digital Services
823,data poor,Data Systems & Development
824,finance management system evolve cooperation,Digital Finance
825,finance management system evolve cooperation,Data Systems & Development
826,informal settlement visible datafication study quarry road west informal settlement durban africa,E-government
827,papertodigital shift,Digital Information Services
828,malala fund full force,Digital Inclusion
829,malala fund full force,Digital Inclusion
830,malala fund full force,Digital Inclusion
831,malaysias economy driver,Digital Finance
832,malaysias economy driver,Digital Infrastructure Development
833,management record select financial service parastatals,Digital Finance
834,management record select financial service parastatals,Digital Infrastructure Development
835,management record select financial service parastatals,Data Systems & Development
836,manual production statistic economy,Policy & Regulation or Digital Services
837,map data governance legal framework finding global data regulation diagnostic,Cybersecurity
838,map data governance legal framework finding global data regulation diagnostic,Data Systems & Development
839,map merchant mind analysis payment behavior store merchant jaipur,Digital Finance
840,mcare health intervention package pregnancy surveillance careseeking reminder modelbased costeffectiveness analysis,Digital Information Services
841,measure evaluation phase midterm performance evaluation final,Digital Infrastructure Development
842,measure global broadband divide aggregate crowdsourced big data,Digital Infrastructure Development
843,measure global broadband divide aggregate crowdsourced big data,Digital Inclusion
844,medium literacy social connectedness citizenship map stakeholder parent young people navigate social,Digital Literacy
845,medium investment fund mdif medium advisory service mass series practical guide medium manager practitioner,Digital Inclusion
846,medic mobile study unescopearson initiative literacy,Digital Literacy
847,mhealth data security privacy confidentiality,Data Privacy
848,mhealth data security privacy confidentiality,Cybersecurity
849,micromerchant ecosystems low income store,Digital Finance
850,midline randomize controlled trial increase utilization financial service woman business owner rural paper,Digital Finance
851,midline randomize controlled trial increase utilization financial service woman business owner rural paper,Digital Finance
852,milk benefit payment journey simple solution,Digital Finance
853,mindful save explore power saving woman,Digital Literacy
854,mindful save explore power saving woman,Digital Literacy
855,mindful save explore power saving woman,Digital Inclusion
856,mindful save explore power saving woman,Digital Inclusion
857,minimum data consumption support online affordable,Digital Inclusion
858,mira channel study unescopearson initiative literacy,Data Systems & Development
859,mira channel study unescopearson initiative literacy,Data Systems & Development
860,mira channel study unescopearson initiative literacy,Data Systems & Development
861,mobile learn highschool mathematics path sustainability fastchanging society exploratory study,Digital Infrastructure Development
862,mobile network operator partnership action health study mobile network operator ministry health engagement electronic immunization registry application,Digital Infrastructure Development
863,mobile phone access implication health intervention adolescent young adult crosssectional survey,Digital Infrastructure Development
864,mobile banking answer financial inclusion hilly rural,Digital Finance
865,mobile banking answer financial inclusion hilly rural,Digital Inclusion
866,mobile banking innovative solution increase financial inclusion subsaharan african evidence,Digital Finance
867,mobile banking innovative solution increase financial inclusion subsaharan african evidence,Digital Inclusion
868,mobile commerce adoption bottom pyramid street vendor,Digital Finance
869,mobile connectivity emerge economy,Child Protection
870,mobile health initiative,Digital Information Services
871,mobile health message service helpdesk african mother momconnect history success challenge,Data Systems & Development
872,mobile health improve adherence tuberculosis treatment khartoum,Digital Information Services
873,mobile health improve adherence tuberculosis treatment khartoum,Data Systems & Development
874,mobile learn support deliver distance education perception student university coast,Data Systems & Development
875,mobile learn support deliver distance education perception student university coast,Upskilling/ Capacity Building
876,mobile learn system egyptian high education agilebased,Digital Information Services
877,mobile learn system egyptian high education agilebased,Upskilling/ Capacity Building
878,mobile money adoption spend behaviour student,Digital Finance
879,mobile money financial inclusion instrument determinant,Digital Finance
880,mobile money financial inclusion instrument determinant,Digital Inclusion
881,mobile money financial inclusion payment,Digital Finance
882,mobile money financial inclusion payment,Digital Inclusion
883,mobile payment privacy factor,Digital Finance
884,mobile phone access implication health intervention adolescent young adult crosssectional survey,Digital Inclusion
885,mobile technology inclusion person disability,Digital Inclusion
886,mobile wallet framework consumer adoption,Digital Finance
887,mobile study english,E-government
888,rapid ecommerce review usaid structural reform program,Digital Inclusion
889,moldova enable environment business economy,Digital Finance
890,moldova enable environment business economy,Digital Finance
891,money mobile money ritual western contingency fund thirteenth cow,Digital Finance
892,motivate adoption communityminded behavior empirical test,E-government
893,mobile phone life deconstruct maendeleo gender narrative marakwet,Digital Literacy
894,mobile phone life deconstruct maendeleo gender narrative marakwet,Digital Literacy
895,mobile phone life deconstruct maendeleo gender narrative marakwet,Digital Inclusion
896,mobile phone life deconstruct maendeleo gender narrative marakwet,Digital Inclusion
897,national cybersecurity strategy develop study proposal,Cybersecurity
898,agricultural lend final mission,Digital Finance
899,agricultural lend final mission,Digital Infrastructure Development
900,nethope epayments toolkit,Digital Finance
901,nethope epayments toolkit,Digital Finance
902,insight woman mobile phone ownership,Digital Inclusion
903,insight woman mobile phone ownership,Digital Inclusion
904,power responsibility global survey journalism artificial intelligence,Digital Information Services
905,news organization build consensus social medium digitalnative la silla vaca,Digital Information Services
906,generation universal service ubiquitous broadband ecosystems asean uso,Digital Infrastructure Development
907,broken link vulnerability telecommunication infrastructure natural hazard english,Digital Infrastructure Development
908,broken link vulnerability telecommunication infrastructure natural hazard english,Digital Infrastructure Development
909,nonbank emoney issuer payment bank compare,Digital Finance
910,offgrid solar assessment cote divoire power africa offgrid,Data Systems & Development
911,offgrid solar assessment cote divoire power africa offgrid,Data Systems & Development
912,offgrid solar assessment cote divoire power africa offgrid,Digital Inclusion
913,offgrid solar assessment cote divoire power africa offgrid,Digital Inclusion
914,track health care patient data provider performance,Data Systems & Development
915,online child sexual exploitation abuse diagnosis social norm theoryy,Child Protection
916,online child sexual exploitation optimal international response,Child Protection
917,online opportunity risk child adolescent role skill age gender parental mediation,Child Protection
918,open banking design financial inclusion,Digital Finance
919,open banking design financial inclusion,Digital Inclusion
920,open data agriculture nutrition literature review propose conceptual framework,E-government
921,operability acceptability mobile app track routine immunization performance rural interview study vaccinator key informant,Data Systems & Development
922,opportunity financial service cocoa chain cte divoire insight data,Digital Finance
923,opportunity financial service cocoa chain cte divoire insight data english,Digital Finance
924,optimal cyber threat intelligent system,Cybersecurity
925,outcome reminder text message intervention completion routine immunization rural,Data Systems & Development
926,ownership mobile device adolescent,Data Systems & Development
927,ownership mobile device adolescent,Digital Literacy
928,economic policy export competitiveness business trade assessment,Digital Infrastructure Development
929,economic policy export competitiveness business trade assessment,Digital Finance
930,financial consumer protection diagnostic english,Digital Finance
931,parental mediation romandian young childrens practice,Child Protection
932,parent age challenge parental responsibility comparative perspective,Child Protection
933,participatory map toolkit guide refugee,Digital Infrastructure Development
934,pathway prosperity rural agricultural finance sector,Digital Finance
935,patientcentered care transform health care system support health technology,Digital Infrastructure Development
936,patientcentered care transform health care system support health technology,Data Systems & Development
937,pattern divide convergence access ict facility indian,Digital Infrastructure Development
938,pattern mobile phone ownership pregnant woman southern crosssectional survey,Digital Literacy
939,peer externalities technology adoption evidence reporting,Digital Information Services
940,perception corruption egovernment service postlaunch role demographic variable,E-government
941,perception drone adherence monitor technology educational videos tuberculosis control remote mixedmethod study protocol,Data Systems & Development
942,perception acceptability intervention tuberculosis patient qualitative study videobased directly observe therapy,Digital Information Services
943,perception drone adherence monitor technology educational videos tuberculosis control remote mixedmethod study protocol,Digital Information Services
944,performance evaluation enterprise global competitiveness compete final evaluation,Digital Finance
945,perspective supranational regulation develop,Data Privacy
946,perspective teacher trainee preparedness adoption integration ict public teacher training college,Upskilling/ Capacity Building
947,perspective experience practice technology management depression alcohol disorder health care system,Digital Information Services
948,economy normal covid digitalize philippine economy english,Digital Finance
949,economy normal covid digitalize philippine economy english,Digital Infrastructure Development
950,phonebased technology agricultural delivery,Digital Infrastructure Development
951,phonebased technology agricultural delivery,Digital Infrastructure Development
952,phonebased technology agricultural delivery,Digital Inclusion
953,phonebased technology agricultural delivery,Digital Inclusion
954,pieri price barrier adoption usage mobile money evidence field experiment,Digital Finance
955,pieri price barrier adoption usage mobile money evidence field experiment,Digital Inclusion
956,potentiality challenge health psychiatry kashmir,Digital Information Services
957,practical lesson phonebased assessment learninglessons phonebased assessment learn,Data Systems & Development
958,predict intention mobile banking,Digital Finance
959,prepare public pedagogy ict pesticide popular education,Upskilling/ Capacity Building
960,prepare public pedagogy ict pesticide popular education,Upskilling/ Capacity Building
961,prepare public pedagogy ict pesticide popular education,Upskilling/ Capacity Building
962,prepare public pedagogy ict pesticide popular education,Upskilling/ Capacity Building
