,Title,classes
988,reassess expectation blockchain,3
990,rebuild yanacona city role technology placemaking practice displace indigenous bogota,5
991,recommendation leverage ecommerce covid crisis english,4
993,reduce job search cost smsbased message app rural,8
997,relationship teacher educator attitude computer level ict integration instruction primary teacher training college,8
999,resilient industry competitiveness face disaster english,6
1002,risk share transaction cost replication study evidence kenya mobile money revolution,4
1003,role perceive risk adopt mobile government mgovernment service,4
1004,save multiple financial evidence lockbox mobile money,4
1005,scale learn,8
1007,selfhelp member bank agent deepen financial inclusion english,4
1011,gender agenda communication policy proposal global alliance medium gender,8
1013,sexual exploitation abuse child online phillipines review online news article,0
1015,shape citizen freedom social medium interaction role city policy expert policymaking,9
1016,shortterm impact improve access mobile saving business train experimental evidence,4
1020,simplify tax file small business,10
1021,site exception gender violence activism nirbhayas zone anomie,7
1023,sms behaviour change communication evoucher intervention increase uptake cervical cancer screen kilimanjaro arusha region randomise doubleblind control trial effectiveness,6
1024,sm text message reminder improve infant vaccination coverage pilot randomize control trial,3
1025,social behavior change communication intervention deliver facetoface mobile phone strengthen vaccination uptake improve child health rural randomize pilot study,6
1026,social isolation disrupt privacy impact covid adolescent girl humanitarian,0
1030,social medium journalism scene reform,9
1031,social medium intervention precision public health promise risk,6
1032,sociocultural contextual factor contribute uptake mobile health intervention enhance maternal health care rural,6
1036,africa economy diagnostic,10
1037,africas quest smart city privacy concern natives town africa,2
1039,spatialdata justice mapping digitise stroll moral police,9
1043,spring summative programme performance evaluation,4
1051,stakeholder involvement union centre,10
1054,financial inclusion woman english,5
1056,policy consumer protection financial service,9
1058,stem learning loss pandemic rapid randomize trial low tech intervention,5
1059,strategic synthesis program literature,4
1065,strategy support inclusive innovation,10
1067,strengthen skill pipeline statistical capacity meet demand sustainable implement data fellowship model,11
1068,study micro small medium enterprise participation economy asean literature review,4
1069,study transport logistics valueadded manufacturing service,7
1070,support innovation technology accountability initiative lesson voice count,10
1071,support woman coronavirus covid emergency response economic recovery,4
1072,sustainability fintech financial inclusion,4
1074,systematic evaluation platform decent standard framework application global,3
1075,tackle cybercrime unleash develop potential,1
1076,tackle poverty hunger innovation,7
1078,management lesson innovative management system small business,3
1079,tame beast harnessing blockchains develop government,9
1081,tame strange beast service future paygo,4
1082,aid machine learn mobile phone data,4
1083,taxmotivated transfer mispricing africa direct evidence transaction data,10
1084,teacher attitude integrate ict classroom instruction teach learn biology secondary school southern region,8
1086,teach conception technology teach resource physical education public school minas gerais,5
1087,technical enhance supervision phase landscape analysis finding,3
1088,test validity feasibility mobile phonebased method ass strength implementation family planning program,3
1089,test innovative extension technology incentive improve padee aspire,6
1092,test water payment water sanitation,4
1093,formation interstate crossborder scientificeducational innovative space european union member economy,7
1094,impact belt road initiative investment connectivity communication technology achieve sdgs,7
1095,classify online risk child,0
1096,affordability,5
1097,contribution icts sustainable urbanization health urban,3
1098,cyber frontier pitfall global,1
1099,data delusion,2
1101,infrastructure blockchain technology,7
1102,mobile money politics financial inclusion,4
1105,carceral medium infrastructure culture surveillance postarab spring,7
1108,divide nonuse ict rural urban student,5
1109,economy southeast asia strengthen foundation future growth,7
1111,payment,4
1112,digitalisation african agriculture,3
1113,covid education africa implication technology,10
1114,medium young mind pandemic study,6
1115,librarian skill technology acceptance academic library,11
1116,future mobile financial inclusion technological innovation emerge,4
1118,future gp payment integrated infrastructure,10
1120,future finding commission oxfam empower youth program,3
1122,future aim resilience paradigm caribbean,11
1125,gender labor gap economy,8
1127,hidden shadow coronavirus education develop,0
1129,humanitarian metadata problem harm era,1
1130,impact credit smallscale farmer,4
1134,impact womenspecific credit score model woman access credit republic,4
1138,impact computer assist learning rural taiwanese child evidence randomize experiment,10
1140,impact internet adolescent learn outcome evidence rural,5
1141,impact mobile money financial performance smes douala,4
1142,impact personalize sms message parent student achievement,3
1144,impact rapid technological change sustainable,9
1145,impact reliable electricity maternal newborn healthcare rural,7
1147,impact health intervention curb covid,6
1148,impact interactive smartboards learn achievement senegalese primary school,5
1149,mediation hope technology affective affordances iraqi refugee household,6
1151,mobile gender gap,5
1152,moderate role cultural factor adoption mobile banking,4
1153,momconnect helpdesk interactive mobile message programme mother africa,6
1155,economy africa opportunity nigerias emerge technology sector,3
1161,personal data protection internet user,2
1163,puzzle financial inclusion closeable gap,4
1164,regulation trade key policy international trend english,9
1165,relative effectiveness teacher learn software evidence field experiment salvador,10
1166,role technology english language teaching,5
1167,role financial service youth education employment,4
1169,trade cybersecurity dilemma impact global cybersecurity governance,1
1170,urban data justice study collection,3
1171,usaid economic policy option recovery resilience,9
1173,agent financial service provider,4
1175,utility regulator role promote cybersecurity resilience risk assessment standard,1
1176,thin business network supplychain friction impact mobile phone network application small business,6
1177,fast furious credit delivery speed repayment rate,4
1178,toolkit woman internet access,5
1179,universal financial inclusion model challenge global lesson,4
1181,genderinclusive open source,5
1182,inclusive literacy framework,8
1185,realtime governance feedback improve service voice accountability,10
1187,trade gender linkages gender impact technological upgrading agriculture,5
1189,transform landscape learn mstar,4
1192,transition economy technological capability driver productivity,7
1193,trend online child sexual abuse material,0
1194,trust mediator mobile money adoption usage financial inclusion,4
1195,twoway short message service sms communication increase preexposure prophylaxis continuation adherence pregnant postpartum woman,3
1196,egovernment assessment english,10
1197,understand benefit cost challenge national identification system,10
1198,understanding implication online outsource study labour platform,3
1200,understand woman mobile phone rural affordancebased,7
1207,unequal venture baseline study gender entrepreneurship java,3
1211,unescos internet universality indicator framework assess internet,6
1212,universal national identity card unid modernization,10
1213,unleash ecommerce asian integration,7
1214,unleash power farm seek opportunity small farm english,4
1215,update infrastructure regulation st century latin america caribbean,9
1217,urban slum datafying milieu challenge datadriven practice,9
1221,usaid compete system constraint analysis,4
1223,usaid competesector assessmentfinal,10
1225,usaid lens finance,4
1226,usaid lens purchase order finance,4
1227,usaid lens tanmeyah strategy roadmap microfinance sector,5
1228,usaid connectivity study promise internet connectivity healthcare education,10
1231,usaid small medium enterprise smea investment policy framework sindh,10
1233,usaidcambodia window service office platform enhance accountability owsopea landscape window service office civic technology december,10
1235,usaidegypt private sector landscape assessment,9
1237,usaidsouth africa tuberculosis africa tbsap midterm evaluation,3
1239,mobile application ebola contact trace monitor northern leone proofofconcept study,6
1241,technology adolescent attend school bissau guineabissau,7
1242,technology adolescent adult entertainment sector,0
1243,interactive voice response technology address barrier fistula care httpsdeemdigitaldevelopmentorgdoc,3
1244,user perspective usage privacy ehealth system dhaka survey,2
1246,ai data cash transfer,10
1247,tool expand access agricultural insurance,4
1248,geospatial data analytics guide reproductive maternal newborn child adolescent health program,3
1249,mobile phone data help estimate communitylevel food insecurity finding multiyear panel study,3
1250,mobile phone data reveal risk flow network underlie hiv epidemic,3
1251,satellite data financial inclusion,4
1253,technology document violation enable sexworker document violence,9
1255,utilization literacy retirement plan ghanaian formal informal sector worker,8
1259,utilization resource service engineering college library karnataka,6
1260,vaccine meet big data stateof theart future prospect classical isolateinactivateinject vaccinology vaccinology vaccinomics historical overview,3
1261,innovation ecosystem analysis,10
1262,virtual classroom education system,5
1263,visual data justice datafication urban informality africa image technology,3
1264,voice visibility variety viciousness malaysian study woman live reality social medium,5
1265,wahit midline study analytical,3
1266,wawared,10
1267,contextual enablers impact technology extend maternal child health service rural finding qualitative study,6
1269,future,7
1270,financial service agricultural,4
1271,drive ridehailing platform latin america profile uber driver,4
1272,data protection matter strengthen inclusion regulatory capacity,2
1273,invest icts agriculture,3
1274,maritime cybersecurity ocean policy priority address,1
1275,willingness mobile epartograph associate factor care provider gondar zone northwest,11
1277,window opportunity facilitate trade blockchain technology,9
1278,woman economic empowerment economy,4
1282,woman economic empowerment,5
1284,youth entrepreneur engage economy generation,4
1286,youth involvement ict informal sector job ileife motivator gender notion satisfaction,5
1290,youth woman system agriculture support landscape analysis study,5
1292,youthled communication social change empowerment citizen medium culture governance northern,11
1294,upliftment friend finance everyday exchange repertoire mobile money transfer,4
1295,wrong side divide seek technological intervention education northeast,8
1299,millennial global politics,10
