Title,Intervention Area
"Digital Cash Transfers in Times of COVID-19: Opportunities and Considerations for Women's Inclusion and Empowerment, 2020",Digital Inclusion
"Digital Cash Transfers in Times of COVID-19: Opportunities and Considerations for Women's Inclusion and Empowerment, 2020",Digital Inclusion
Digital Collateral,Digital Finance
Digital Collateral,Digital Finance
"Digital connectivity at the upstream end of value chains: A dynamic perspective on smartphone adoption amongst horticultural smallholders in Kenya, 2020",Digital Inclusion
Digital Connectivity: The Infrastructure of the Future,Digital Infrastructure Development
Digital design and technology and market outreach in rural Zimbabwe,Digital Finance
Digital Diabetes Care System Observations from a Pilot Evaluation Study in Vietnam,Digital Inclusion
Digital Diabetes Care System Observations from a Pilot Evaluation Study in Vietnam,Digital Information Services
"Digital Divide and its Socio-Psychological Implications on Rural Dwellers in Nigeria, 2018",Digital Infrastructure Development
Digital Educational Support Groups Administered through WhatsApp Messenger Improve Health-Related Knowledge and Health Behaviors of New Adolescent Mothers in the Dominican Republic: A Multi-Method Study,Digital Inclusion
Digital Educational Support Groups Administered through WhatsApp Messenger Improve Health-Related Knowledge and Health Behaviors of New Adolescent Mothers in the Dominican Republic: A Multi-Method Study,Digital Information Services
Digital Educational Support Groups Administered through WhatsApp Messenger Improve Health-Related Knowledge and Health Behaviors of New Adolescent Mothers in the Dominican Republic: A Multi-Method Study,Digital Information Services
Digital entrepreneurship in Taiwan and Thailand: Embracing precarity as a personal response to political and economic change,Digital Infrastructure Development
Digital ethnography of social media: Srikandi Sungai Indonesia activists in water and river conservation,Digital Information Services
Digital finance and inclusion in the time of COVID-19,Digital Finance
Digital finance and inclusion in the time of COVID-19,Digital Inclusion
Digital finance as a mechanism for extending the boundaries of financial inclusion in sub-Saharan Africa: A general methods of moments approach,Digital Finance
Digital finance as a mechanism for extending the boundaries of financial inclusion in sub-Saharan Africa: A general methods of moments approach,Digital Inclusion
Digital Finance Bright Spot: Support for Market Growth with USAID/ETHIOPIA,Digital Finance
Digital Finance Bright Spot: Support for Market Growth with USAID/ETHIOPIA,Digital Finance
Digital Finance for the Real Economy: Education,Digital Finance
Digital Finance for the Real Economy: Education,Digital Finance
Digital Finance for the Real Economy: Education,Digital Inclusion
Digital Finance for the Real Economy: Introduction,Digital Finance
Digital Finance Revolution in E. Africa: Retail Bank's Adaption to a changing Marketplace,Digital Finance
Digital financial inclusion and fiscal solvency in Uganda's local governments: A review of regulation mediation,Policy & Regulation or Digital Services
Digital financial inclusion and fiscal solvency in Uganda's local governments: A review of regulation mediation,Digital Finance
Digital Financial Inclusion Sustainability in Jordanian Context,Digital Finance
Digital Financial Inclusion Sustainability in Jordanian Context,Digital Inclusion
Digital financial inclusion: evidence from Ukraine,Digital Finance
Digital financial inclusion: evidence from Ukraine,Digital Inclusion
Digital Financial Services for Health - A Global Evidence Review,Digital Finance
Digital Financial Services in Rural Areas of Colombia,Digital Inclusion
Digital Financial Services in Rural Areas of Colombia,Digital Finance
Digital Food Delivery Apps Revolutionizing Food Products Marketing in India,Digital Finance
Digital food environment during the coronavirus disease 2019 (COVID-19) pandemic in Brazil: an analysis of food advertising in an online food delivery platform,Digital Information Services
Digital Gap in Universities and Challenges for Quality Education: A Diagnostic Study in Mexico and Spain,Digital Literacy
Digital Gap in Universities and Challenges for Quality Education: A Diagnostic Study in Mexico and Spain,Digital Inclusion
Digital Governance: Is Krishna a Glimpse of the Future?,E-government
Digital Governance: Is Krishna a Glimpse of the Future?,E-government
Digital Governance: Is Krishna a Glimpse of the Future?,Digital Inclusion
Digital Harassment of Women Leaders: A review of the evidence,Data Privacy
Digital Harassment of Women Leaders: A review of the evidence,Data Privacy
Digital Harassment of Women Leaders: A review of the evidence,Digital Inclusion
Digital Harassment of Women Leaders: A review of the evidence,Digital Inclusion
"Digital Health and Inequalities in Access to Health Services in Bangladesh: Mixed Methods Study, 2020",Digital Inclusion
"Digital health for real-time monitoring of a national immunisation campaign in Indonesia: a large-scale effectiveness evaluation, 2020",Data Systems & Development
"Digital Health for Social and Behavior Change: New technologies, new ways to reach people",Policy & Regulation or Digital Services
Digital Heritage: Academic Research in Brazil in the Last Five Years,Digital Information Services
Digital Identity for Trade and Development: TrainForTrade case studies in South-East Asia,Policy & Regulation or Digital Services
"Digital inclusion and Internet use among older adults in Brazil: a cross-sectional study, 2020",Digital Inclusion
"Digital Inclusion for Indigenous People: Techniques for using computers and smartphones among the Pataxó of Aldeia Velha (Bahia, Brazil), 2019",Digital Inclusion
"Digital India-Communication Policy, Issues and Challenges",Policy & Regulation or Digital Services
Digital Information Provision and Farmer Behavior: Lessons from Six Experiments in East Africa,Digital Information Services
Digital interface in Indonesia's public service broadcasting: Its initiatives and regulatory challenges,Policy & Regulation or Digital Services
Digital interventions for people living with non-communicable diseases in India: A systematic review of intervention studies and recommendations for future research and development,Digital Information Services
"Digital Labour Platforms in the Global South: Filling or Creating Institutional Voids?, 2020",Digital Inclusion
Digital Learning for Development in Asia (DL4D),Digital Information Services
"Digital Learning Innovation for Host Communities (Lebanon and Jordan) and Syrian Refugees, 2018",Digital Inclusion
"Digital Learning, Students' Mental Health and Role of Psychological Capital Amidst COVID-19 Pandemic in India, 2021",Digital Infrastructure Development
"Digital Learning, Students' Mental Health and Role of Psychological Capital Amidst COVID-19 Pandemic in India, 2021",Digital Infrastructure Development
"Digital Literacy and Higher Education during COVID-19 Lockdown: Spain, Italy, and Ecuador",Digital Literacy
"Digital literacy and online child abuse among primary school children in Langata Sub-county, Nairobi City County in Kenya",Digital Literacy
"Digital literacy and online child abuse among primary school children in Langata Sub-county, Nairobi City County in Kenya",Child Protection
"Digital literacy and online child abuse among primary school children in Langata Sub-county, Nairobi City County in Kenya",Child Protection
"Digital literacy and online child abuse among primary school children in Langata Sub-county, Nairobi City County in Kenya",Digital Literacy
Digital Literacy and the Spread of Misinformation in Pakistan,Digital Literacy
Digital Literacy and the Spread of Misinformation in Pakistan,Digital Information Services
Digital Literacy and the Spread of Misinformation in Pakistan 2019,Digital Literacy
Digital Literacy Index of Teenagers in Indonesia,Digital Literacy
"Digital Literacy of Teenagers in Kulonprogo District, Yogyakarta, Indonesia",Digital Literacy
Digital local information services in developing countries: Evidence from Colombia,Digital Information Services
Digital Media Landscape in Brazil: Political (Mis)Information and Participation on Facebook and WhatsApp,Digital Information Services
Digital Media Landscape in Brazil: Political (Mis)Information and Participation on Facebook and WhatsApp,Digital Literacy
Digital Media Use and Subsequent Self-Harm During a 1-year follow-up of Chinese Adolescents,Child Protection
Digital Payment - A Dream or Reality for Vietnamese in Rural and Remote Areas? : World Bank Social Protection Payments Assessment for Vietnam (English),Digital Finance
Digital Revitalization of the Agri-food Sector in Mashreq,E-government
Digital Revitalization of the Agri-food Sector in Mashreq,E-government
Digital Revitalization of the Agri-food Sector in Mashreq,Digital Finance
Digital Revitalization of the Agri-food Sector in Mashreq,Digital Finance
Digital revolution in healthcare: Potential tool for achieving health equity in Bangladesh,Digital Information Services
Digital Rights in Closing Civic Space: Lessons from Ten African Countries,E-government
"Digital Skills : Frameworks and Programs (English), 2021",Digital Literacy
"Digital Technological Solutions Are an Important Factor in The Effective Development of Higher Education in the Republic of Uzbekistan, 2021",Digital Inclusion
"Digital Technologies and Product Upgrading in Global Value Chains, 2021",Digital Infrastructure Development
Digital technologies and ‘value’ capture in global value chains,Digital Finance
"Digital Technologies for Transparency in Public Investment: New Tools to Empower Citizens and Governments, 2018",Data Systems & Development
Digital technologies in agriculture and rural areas,Digital Literacy
Digital technologies in agriculture and rural areas,Digital Infrastructure Development
Digital Technologies in Early Childhood: Attitudes and Practices of Parents and TEachers in Kosovo,Child Protection
"Digital Technologies Use in Development Programme Design, Delivery and M&E in Fragile and Conflict-Affected Setting",Data Systems & Development
Digital technology and agricultural markets: Background paper for The State of Agricultural Commodity Markets (SOCO) 2020,E-government
Digital Technology and State Capacity in Kenya,Digital Finance
Digital Technology in Social Assistance Transfers for COVID-19 Relief: Lessons from Selected Cases,E-government
Digital Technology in Social Assistance Transfers for COVID-19 Relief: Lessons from Selected Cases,Digital Inclusion
"Digital Technology, Citizen Empowerment, and the SDGs",E-government
"Digital Technology, Citizen Empowerment, and the SDGs",Digital Inclusion
Digital Tools in USAID Agricultural Programming Toolkit,Digital Infrastructure Development
Digital Tools in USAID Agricultural Programming Toolkit,Digital Infrastructure Development
"Digital Tourism Marketing 4.0 Collaborative Strategy for Banggai Brothers Area, Central Sulawesi, Indonesia",Digital Information Services
Digital Trade in MENA : Regulatory Readiness Assessment,Digital Finance
"Digital Training for Non-Specialist Health Workers to Deliver a Brief Psychological Treatment for Depression in Primary Care in India: Findings from a Randomized Pilot Study, 2020",Upskilling/ Capacity Building
"Digital Transformation of University Education in Ukraine: Trajectories of Development in the Conditions of New Technological and Economic Order, 2018",Upskilling/ Capacity Building
Digital Vulnerabilities and the Sustainable Development Goals in Developing Countries,Cybersecurity
Digital Vulnerabilities and the Sustainable Development Goals in Developing Countries,Upskilling/ Capacity Building
Digitalization and migration: the role of social media and migrant networks in migration decisions. An exploratory study in Nigeria,Digital Information Services
"Digitalizing the Port Call Process, 2020",Data Systems & Development
"Digitization of Agribusiness Payments in Africa : Building a Ramp for Farmers’ Financial Inclusion and Participation in a Digital Economy (English), 2020",Digital Infrastructure Development
Digitization of Agribusiness Payments in Africa : Building a Ramp for Farmers’ Financial Inclusion and Participation in a Digital Economy,Policy & Regulation or Digital Services
Digitization of Agribusiness Payments in Africa : Building a Ramp for Farmers’ Financial Inclusion and Participation in a Digital Economy,Digital Finance
Digitization of Agribusiness Payments in Africa : Building a Ramp for Farmers’ Financial Inclusion and Participation in a Digital Economy,Digital Finance
Digitization of Agribusiness Payments in Africa : Building a Ramp for Farmers’ Financial Inclusion and Participation in a Digital Economy,Digital Inclusion
Digitization of Agribusiness Payments in Africa : Building a Ramp for Farmers’ Financial Inclusion and Participation in a Digital Economy,Digital Inclusion
Digitization of local revenue collection in Ghana: An evaluation of Accra Metropolitan Assembly (AMA),E-government
Digitization of the health sector in Pakistan: challenges and opportunities to online health communication: A case study of MARHAM social and mobile media,E-government
Digitization of the health sector in Pakistan: challenges and opportunities to online health communication: A case study of MARHAM social and mobile media,Digital Information Services
Digitization of the health sector in Pakistan: challenges and opportunities to online health communication: A case study of MARHAM social and mobile media,Digital Inclusion
Digitizing Agricultural Payments: Uganda's Coffee Value Chain,Digital Finance
Digitizing Low-Income Clusters In An Urban Slum,Digital Finance
Digitizing Payments For Government Services,Digital Finance
Digitizing Payments For Government Services,E-government
Digitizing Payments For Government Services,Digital Finance
Digitizing Payments in the Dairy Supply Chain,Digital Finance
Digitizing Payments in the Dairy Supply Chain,Digital Finance
Discovering the contextual factors for digital library education in Vietnam,Digital Information Services
Discovering the contextual factors for digital library education in Vietnam,Digital Literacy
Disrupting Education? Experimental Evidence on Technology-Aided Instruction in India,E-government
Do Information Technologies Improve Teenagers’ Sexual Education? Evidence from a Randomized Evaluation in Colombia,Child Protection
Do Information Technologies Improve Teenagers’ Sexual Education? Evidence from a Randomized Evaluation in Colombia,Child Protection
Does mobile money promote financial inclusion in Eswatini?,Digital Finance
Does mobile money promote financial inclusion in Eswatini?,Digital Inclusion
"Does the Internet Reduce Gender Gaps? : The Case of Jordan (English), 2020",Digital Inclusion
"Does the Internet Reduce Gender Gaps? : The Case of Jordan (English), 2020",Digital Inclusion
Doing Development in a Digital World,Policy & Regulation or Digital Services
Don’t Let a Crisis go to Waste - Reshaping the Economy through ‘No-Regret’ Policies (English),Digital Information Services
Don’t Let a Crisis go to Waste - Reshaping the Economy through ‘No-Regret’ Policies (English),Digital Finance
Don’t Let a Crisis go to Waste - Reshaping the Economy through ‘No-Regret’ Policies (English),Digital Information Services
Don’t Let a Crisis go to Waste - Reshaping the Economy through ‘No-Regret’ Policies (English),Digital Finance
Dose-Response Relationship of a Web-Based Tailored Intervention Promoting Human Papillomavirus Vaccination: Process Evaluation of a Randomized Controlled Trial,E-government
e-Agriculture Good Practice: Digital Green’s social behavior change communication model for extension,Digital Finance
e-Agriculture Good Practice: Digital Green’s social behavior change communication model for extension,Upskilling/ Capacity Building
e-Agriculture Promising Practice Grameen Foundation’s FarmerLink - Driving coconut smallholder productivity and resilience through digital technology,Digital Finance
e-Agriculture Promising Practice Grameen Foundation’s FarmerLink - Driving coconut smallholder productivity and resilience through digital technology,Upskilling/ Capacity Building
E-commerce and Mobile Money for Poverty Reduction in China: Lessons for African Countries,Data Systems & Development
E-commerce and Mobile Money for Poverty Reduction in China: Lessons for African Countries,Digital Infrastructure Development
E-Finance in the Philippines: Status and Prospects for Digital Financial Inclusion,Digital Finance
E-Finance in the Philippines: Status and Prospects for Digital Financial Inclusion,Digital Inclusion
EAMENA training in the use of satellite remote sensing and digital technologies in heritage management: Libya and Tunisia workshops 2017-2019,Digital Information Services
EAMENA training in the use of satellite remote sensing and digital technologies in heritage management: Libya and Tunisia workshops 2017-2019,Upskilling/ Capacity Building
"EdTech for Learning in Emergencies and Displaced Settings: A Rigorous Review and Narrative Synthesis, 2018",Digital Inclusion
EdTech in Indonesia : Ready for Take-off? (English),E-government
Education Technology for Effective Teachers,E-government
Effect of Information Systems on customer Satisfaction and Influence of Trust: Evidence from Pakistani Digital Banking Industry,Digital Information Services
Effect of Information Systems on customer Satisfaction and Influence of Trust: Evidence from Pakistani Digital Banking Industry,Policy & Regulation or Digital Services
Effect of Information Systems on customer Satisfaction and Influence of Trust: Evidence from Pakistani Digital Banking Industry,Digital Finance
"Effect of mobile phone text message reminders on improving completeness and timeliness of routine childhood vaccinations in North-West, Ethiopia: a study protocol for randomised controlled trial",Digital Information Services
Effect of the Digital Payment System on SMEs Performance in Developing Countries; A Case of Ghana,Digital Finance
"Effective Adoption of Tablets for Psychodiagnostic Assessments in Rural Burundi: Evidence for the Usability and Validity of Mobile Technology in the Example of Differentiating Symptom Profiles in AMISOM Soldiers 1 Year After Deployment, 2021",Data Systems & Development
"Effective Use of ICT in Teacher Education for Inclusive Environment in Classroom, 2018",Digital Inclusion
Effectiveness and Parental Acceptability of Social Networking Interventions for Promoting Seasonal Influenza Vaccination Among Young Children: Randomized Controlled Trial,E-government
Effectiveness of Digital Platforms to Reduce VAW,Child Protection
"Efficacy of a Digital Health Tool on Contraceptive Ideation and Use in Nigeria: Results of a Cluster-Randomized Control Trial, 2019",Data Systems & Development
EGovernment Benchmark 2017: Taking Stock of User-Centric Design and Delivery of Digital Public Services in Europe,E-government
Electoral Administration in Fledgling Democracies: Experimental Evidence from Kenya,E-government
Electronic Commerce Toward Digital Bangladesh: Business Expansion Model Based on Value Chain in the Network Economy,Digital Finance
Electronic Commerce: Validity of the Digital Contract Based on Indonesia Legislation Perspective,E-government
Electronic Commerce: Validity of the Digital Contract Based on Indonesia Legislation Perspective,Policy & Regulation or Digital Services
Elevating the Collective Consumer Voice in Financial Regulation,Digital Finance
Elevating the Collective Consumer Voice in Financial Regulation,Digital Inclusion
Embedding Digital Finance in e-Commerce Platforms during the COVID-19 Pandemic (English),Digital Finance
Embedding Digital Finance in e-Commerce Platforms during the COVID-19 Pandemic (English),Digital Finance
Embedding knowledge transfer in digital citizen engagement in South Africa: Developing digital literacy,Digital Literacy
Embedding knowledge transfer in digital citizen engagement in South Africa: Developing digital literacy,Upskilling/ Capacity Building
"Empowering Palestinian Girls through Digital Learning Innovations in STEM Fields, 2018",Digital Literacy
Enabling Cross-Border Data Flow: ASEAN and Beyond,Policy & Regulation or Digital Services
Encouraging the Use of Formal Financial Services of Garment Workers through the Rollout of an Electronic Payment System in Bangaldesh,Digital Finance
"End-of-project performance evaluation of USAID/Ghana's communicate for health (C4H) project, 2021",Data Systems & Development
Engaging with Country Offices to Embed Digital Finance,Digital Finance
Engaging with Country Offices to Embed Digital Finance,Digital Inclusion
"Engaging Youth in Agriculture through Information and Communication Technologies, 2019",Digital Infrastructure Development
"Engaging Youth in Agriculture through Information and Communication Technologies, 2019",Upskilling/ Capacity Building
"Enhancing the Knowledge and Behaviors of Fieldworkers to Promote Family Planning and Maternal, Newborn, and Child Health in Bangladesh Through a Digital Health Training Package: Results From a Pilot Study",Digital Information Services
"Enhancing the Knowledge and Behaviors of Fieldworkers to Promote Family Planning and Maternal, Newborn, and Child Health in Bangladesh Through a Digital Health Training Package: Results From a Pilot Study",Digital Inclusion
Ensuring the Safety of Children in the DIgital World: An article from the Business and human Rights Review,Child Protection
"Equal Access to the Information Society in Myanmar, 2018",Digital Inclusion
"Equal Access to the Information Society in Myanmar, 2018",Upskilling/ Capacity Building
eReadiness of public university libraries in Malawi to use mobile phones in the provision of library and information services,Digital Information Services
eReadiness of public university libraries in Malawi to use mobile phones in the provision of library and information services,Digital Literacy
eReadiness of public university libraries in Malawi to use mobile phones in the provision of library and information services,Digital Infrastructure Development
Establishing content for a digital educational support group for new adolescent mothers in the Dominican Republic: a user-centered design approach,Digital Information Services
Establishing content for a digital educational support group for new adolescent mothers in the Dominican Republic: a user-centered design approach,Digital Information Services
Estimating the Effect of Digital Credit: An Experiment with Airtel Malawi,Digital Finance
Estimating the Effect of Digital Credit: An Experiment with Airtel Malawi,Digital Finance
Estimating the Effect of Digital Credit: An Experiment with Airtel Malawi,Digital Inclusion
Estimating the Effect of Digital Credit: An Experiment with Airtel Malawi,Digital Inclusion
Ethics and Governance of Digital Epidemiology,E-government
"Europe and Central Asia Economic Update, Spring 2021 : Data, Digitalization, and Governance",E-government
"Evaluating Sama’s Training and Job Programs in Nairobi, Kenya, 2021",Upskilling/ Capacity Building
"Evaluating Sama’s Training and Job Programs in Nairobi, Kenya, 2021",Upskilling/ Capacity Building
Evaluating saving lives at birth: evaluation report : rounds one to eight (2011-2020),Child Protection
Evaluating the impact of ICT on teaching and learning: A study of Palestinian students’ and teachers’ perceptions,Policy & Regulation or Digital Services
Evaluating the impact of ICT on teaching and learning: A study of Palestinian students’ and teachers’ perceptions,Upskilling/ Capacity Building
Evaluating the Prudency of Cybersecurity Investments: Guidelines for Energy Regulators,Cybersecurity
"Evaluation of ICT development and economic growth in Africa, 2019",Digital Infrastructure Development
"Evaluation of ICT development and economic growth in Africa, 2019",Digital Inclusion
Evaluation of Key Security Issues Associated with Mobile Money Systems in Uganda,Cybersecurity
Evaluation of Key Security Issues Associated with Mobile Money Systems in Uganda,Digital Finance
"Evaluation of the project ""Integrated national monitoring and assessment system on forest ecosystems (SIMEF)"", 2020",Data Systems & Development
"Evidence base for collaboration, learning and adaptation (EB4CLA) : final report",Digital Finance
"Evidence from Google Trends of a Widening Second-level Digital Divide in Brazil. Even Worse with the Covid-19, 2020",Digital Inclusion
Expanding Developing Country Small Businesses' Use of Online Platforms for Trade,Digital Finance
Expanding the Capacity of Otolaryngologists in Kenya through Mobile Technology,Digital Information Services
Expanding the Capacity of Otolaryngologists in Kenya through Mobile Technology,Data Systems & Development
Experiencing Personal Data Protection on thte Internet and Its Possibilities of Recognition and Enforcement in Ukraine,Data Privacy
"Exploration of Youth's Digital Competencies: A Dataset in the Educational Context of Vietnam, 2019",Digital Literacy
Exploring Blockchain Applicationsto Agricultural Finance,Digital Finance
Exploring Blockchain Applications to Agricultural Finance,Digital Finance
"Exploring fairness in machine learning for international development, 2020",Data Systems & Development
"Exploring fairness in machine learning for international development, 2020",Data Systems & Development
"Exploring fairness in machine learning for international development, 2020",Data Systems & Development
Exploring SME cybersecurity practices in developing countries,Cybersecurity
"Exploring the use of Mobile Money Services among Tea SACCOs in Rwanda: Challenges and Opportunities, 2020",Data Systems & Development
"Exploring the use of Mobile Money Services among Tea SACCOs in Rwanda: Challenges and Opportunities, 2020",Digital Inclusion
"External Evaluation of Mobile Phone Technology-Based Nutrition and Agriculture Advisory Services in Africa: Mobile Phones, Nutrition, and Health In Tanzania: Business Modelling Endline Report",Digital Literacy
"External Evaluation of Mobile Phone Technology-Based Nutrition and Agriculture Advisory Services in Africa: Mobile Phones, Nutrition, and Health In Tanzania: Business Modelling Endline Report",Digital Literacy
"Facilitating Trade and Logistics for E-Commerce : Building Blocks, Challenges, and Ways Forward",Policy & Regulation or Digital Services
Facilitators and Barriers to Chronic Disease Self-Management and Mobile Health Interventions for People Living With Diabetes and Hypertension in Cambodia: Qualitative Study,Digital Information Services
Factors Affecting the Use of ICT Services in Ethiopia,Digital Information Services
"Factors Affecting the Use of ICT Services in Ethiopia, 2020",Digital Inclusion
"Factors Affecting the Use of ICT Services in Ethiopia, 2020",Upskilling/ Capacity Building
"Factors affecting the use of information and communication technologies (ICTS) in marketing of grains among women in Benue state, 2019",Digital Inclusion
"Factors affecting the use of information and communication technologies (ICTS) in marketing of grains among women in Benue state, 2019",Digital Inclusion
Factors Impacting Mobile Banking in India: Empirical Approach Extending UTAUT2 with Perceived Value and Trust,Digital Finance
Factors influencing the adoption of mobile payment systems in Indonesia,Digital Finance
Factors influencing the adoption of mobile payment systems in Indonesia,Data Systems & Development
Factors Influencing the Use of Digital Libraries in Distance Education in Ghana,E-government
Factors Influencing the Use of Digital Libraries in Distance Education in Ghana,Data Systems & Development
Factors Influencing the Use of Digital Libraries in Distance Education in Ghana,Digital Literacy
Factors that Influence Works' Participation in Unhygienic Cyber Practices: A Pilot Study from Nigeria,Data Privacy
Factors that Influence Works' Participation in Unhygienic Cyber Practices: A Pilot Study from Nigeria,Cybersecurity
Fair Play: Ensuring Competition in Digital Financial Services,Digital Finance
Farmers' perception of the quality of mobile-based extension services in Egypt: A comparison between public and private provision,E-government
Farmers' perception of the quality of mobile-based extension services in Egypt: A comparison between public and private provision,Digital Information Services
Farmers' use of mobile phone for accessing agricultural information in Pakistan,Digital Information Services
"Farmers' use of mobile phone-based farm advisory services in Punjab, Pakistan",Digital Information Services
"Farmers' use of mobile phone-based farm advisory services in Punjab, Pakistan",Digital Literacy
"Farmers' use of mobile phone-based farm advisory services in Punjab, Pakistan",Upskilling/ Capacity Building
"Farmers' use of mobile phone-based farm advisory services in Punjab, Pakistan",Digital Inclusion
Feed the Future Bangladesh digital agriculture assessment follow-on : an updated review of the agtech landscape for Feed the Future,Digital Finance
"Feed the Future Senegal Naatal Mbay Capitalization Note, Data-Driven Agriculture, 2019",Digital Literacy
"Feed the Future Senegal Naatal Mbay Capitalization Note, Data-Driven Agriculture, 2019",Data Systems & Development
"Female Smallholders in the Financial Inclusion Agenda, 2018",Digital Inclusion
"Female Smallholders in the Financial Inclusion Agenda, 2018",Digital Inclusion
Fidelity of Implementation of Prospera Digital: Evaluation of a Multi-Site mHealth Intervention Aimed at Improving Maternal Health Outcomes in Mexico,Digital Information Services
Financial Inclusion and Poverty Alleviation in Kenya: Effects of Mobile Loan Interest Rates on the Financial Performance of SMEs in Urban Informal Settlements,Digital Finance
Financial Inclusion and Poverty Alleviation in Kenya: Effects of Mobile Loan Interest Rates on the Financial Performance of SMEs in Urban Informal Settlements,Digital Inclusion
Financial Inclusion Beyond Payments : Policy Considerations for Digital Savings,Digital Finance
Financial Inclusion Beyond Payments : Policy Considerations for Digital Savings,Digital Inclusion
Financial Inclusion in the Europe and Central Asia Region : Recent Trends and a Research Agenda (English),Digital Finance
Financial Inclusion in the Europe and Central Asia Region : Recent Trends and a Research Agenda (English),Digital Inclusion
Financial Inclusion in the Maldives Findex 2018 Survey (English),Digital Finance
Financial Inclusion in the Maldives Findex 2018 Survey (English),Digital Inclusion
Financial inclusion: disrupted liquidity and redundancy of mobile money agents in Zimbabwe,Digital Finance
"Financial Markets, Insurance and Pensions Digitalization and Finance",Digital Finance
"Financial Markets, Insurance and Pensions Digitalization and Finance",Policy & Regulation or Digital Services
"Financial Sector Transformation Cryptocurrencies in Ukraine: Technology, Markets, and Regulation",Digital Finance
Financial Sector’s Cybersecurity : Regulations and Supervision,Cybersecurity
Financial Sector’s Cybersecurity : Regulations and Supervision,Digital Finance
Financial sector’s cybersecurity : regulations and supervision (English),Cybersecurity
Financial sector’s cybersecurity : regulations and supervision (English),Digital Finance
Fintech and Household Resilience to Shocks: Evidence from Digital Loans in Kenya,Digital Finance
FinTech Partnerships Playbook,Digital Finance
Fintechs and Financial Inclusion,Digital Finance
Fintechs and Financial Inclusion,Digital Finance
Fintechs and Financial Inclusion,Digital Inclusion
Fintechs and Financial Inclusion,Digital Inclusion
Fixing AML: Can New Technology Help Address the De-risking Dilemma?,Policy & Regulation or Digital Services
Fixing AML: Can New Technology Help Address the De-risking Dilemma?,Policy & Regulation or Digital Services
"Four Challenges in the Field of Alternative, Radical and Citizens' Media Research, 2019",Digital Inclusion
Fourth Ghana Economic Update : Enhancing Financial Inclusion - Africa Region (English),Digital Finance
Fourth Ghana Economic Update : Enhancing Financial Inclusion - Africa Region (English),Digital Finance
Fourth Ghana Economic Update : Enhancing Financial Inclusion - Africa Region (English),Digital Inclusion
Fourth Ghana Economic Update : Enhancing Financial Inclusion - Africa Region (English),Digital Inclusion
Framing Policies for the Digital Economy,Digital Finance
Freeing Financial Education via Tablets: Experimental Evidence from Colombia,Digital Literacy
Freeing Financial Education via Tablets: Experimental Evidence from Colombia,Digital Literacy
Freeing Financial Education via Tablets: Experimental Evidence from Colombia,Digital Finance
Freeing Financial Education via Tablets: Experimental Evidence from Colombia,Digital Finance
"From 15,000 to 150,000 agents in just three years",Digital Finance
From Integrations to Innovation: Implementing an Evolving API Strategy,Policy & Regulation or Digital Services
"From national identity to state legitimacy: Mobilizing digitally networked publics in eastern Ukraine, 2019",Digital Inclusion
From Paper Maps to Digital Maps: Enhancing Routine Immunisation Microplanning in Northern Nigeria,Digital Infrastructure Development
From Paper Maps to Digital Maps: Enhancing Routine Immunisation Microplanning in Northern Nigeria,Data Systems & Development
From Social and Development Banking to Digital Financial Inclusion: the Journey of Banking in India,Digital Finance
From Social and Development Banking to Digital Financial Inclusion: the Journey of Banking in India,Digital Inclusion
From web 1.0 to web 4.0: the digital heritage platforms for UNESCO’s heritage properties in Indonesia,Digital Information Services
From web 1.0 to web 4.0: the digital heritage platforms for UNESCO’s heritage properties in Indonesia,Data Systems & Development
"Fuel Subsidy Reform and Green Taxes: Can Digital Technologies Improve State Capacity and Effectiveness?, 2019",Digital Inclusion
Fueling Digital Trade in Mercosur: A Regulatory Roadmap,Policy & Regulation or Digital Services
Future of Food : Harnessing Digital Technologies to Improve Food System Outcomes,Digital Finance
Future of Food : Harnessing Digital Technologies to Improve Food System Outcomes,Data Systems & Development
G20 Digital Identity Onboarding,Digital Finance
Gaps in global monitoring and evaluation of adolescent and youth reproductive health,Data Systems & Development
"Gender and ICTs: mainstreaming gender in the use of information and communication technologies (ICTs) for agriculture and rural development, 2018",Digital Inclusion
"Gender and ICTs: mainstreaming gender in the use of information and communication technologies (ICTs) for agriculture and rural development, 2018",Digital Inclusion
"Gender and the Digital Divide Across Urban Slums of New Delhi, India: Cross-Sectional Study",Digital Inclusion
"Gender and the Digital Divide Across Urban Slums of New Delhi, India: Cross-Sectional Study",Digital Inclusion
Gender Differences in ICT Use Among Small Business Owners in Ghana,Digital Finance
"Gender digital divide in India: a case of inter-regional analysis of Uttar Pradesh, 2018",Digital Inclusion
"Gender digital divide in India: a case of inter-regional analysis of Uttar Pradesh, 2018",Digital Inclusion
Gender digital divide in Maya-speaking contexts of southern Mexico,E-government
Gender digital divide in Maya-speaking contexts of southern Mexico,Digital Literacy
"Gender Dynamics in Digital Health: Overcoming Blind Spots and Biases to Seize Opportunities and Responsibilities for Transformative Health Systems, 2018",Digital Inclusion
"Gender Dynamics in Digital Health: Overcoming Blind Spots and Biases to Seize Opportunities and Responsibilities for Transformative Health Systems, 2018",Digital Inclusion
"Gender Equality and Big Data: Making Gender Data Visible, 2018",Data Systems & Development
"Gender, Media & ICTs: New Approaches for Research, Education & Training",Policy & Regulation or Digital Services
"Gender, Media & ICTs: New Approaches for Research, Education & Training",Policy & Regulation or Digital Services
