Abstract,Intervention Area
"Abstract This study experimentally compares two different interventions aimed at improving early grade reading in English as First Additional Language (EFAL)  in poor communities in South Africa. Both interventions are designed to improve and strengthen teachers' enactment of the existing government curriculum, and consist of the same three components: (1) detailed lesson plans, (2) integrated learning and teaching support material and (3) instructional coaching and training. The main difference between the two intervention models is in the delivery model of the lesson plans and the coaching support. In Intervention 1, the teachers receive a paper-based version of the lesson plans and benefit from regular on-site coaching. In Intervention 2, the teachers receive a tablet with an electronic version of the lesson plans, including various audio-visual resources and are supported through an ICT coaching model that includes telephone calls and cell phone messaging. The electronic lesson plans are provided on an application which is specifically developed for the study. This application contains additional electronic resources such as short training videos, sound clips of the phonics sounds, songs and rhymes and examples of learners' work.  The program was implemented over a period of three years, tracking the same cohort of 20 students per school from the start of grade one (February, 2017) up to the end of grade three (November, 2019). Each year a different set of teachers were exposed to the program: grade one teachers in year one, grade two teachers in year two, and grade three teachers in year three. There were four rounds of data collection: once prior to the start of the program (January, 2017), and again at the end of every year of implementation (November 2017, 2018 and 2019). Another round of data collection is planned for the end of 2020.",AreaE-government E-governmentInterventions that
"Abstract Government institutions in Ghana have initiated the use of information technologies to accomplish their objectives. Among these institutions is the Accra Metropolitan Assembly (AMA), the local government institution that introduced the use of point of sale devices in the collection of rates in 2012. The purpose of the study was to evaluate this digital mode of rate collection at the AMA through the lenses of the concept of e‐government failure (Heeks, 2003) and the rational choice theory. Guided by the pragmatic paradigm of social research, a mixed method approach was adopted.",AreaE-government E-governmentInterventions that
"Abstract Governments that can successfully harness the world’s ongoing digital transformation and the data it produces can make better informed policy decisions and target their resources more effectively. To achieve this goal, they must establish clear rules about how data can be used across its lifecycle. Until recently, the development community has paid more attention to supporting government use of digital tools and data than on how governments can manage data responsibly. This is now changing in line with a broader shift in societal views about the risks of data misuse. To better understand how governments can use data to support economic development and inclusive growth while protecting citizens and communities against harm, we interviewed over 40 data policy experts from government, civil society, the private sector, development organizations, and the data privacy community over summer 2020. This paper synthesizes the views we heard into key themes and explores some of the questions and challenges that a policy and research agenda aimed at supporting effective government data use should consider.",AreaE-government E-governmentInterventions that
"Abstract A unique, legal identity is necessary to allow all individuals to participate fully in society and the economy. The ability to prove one’s identity underlies the ability to access basic services and entitlements from healthcare through to pensions and agriculture subsidies. This is especially true for marginalized segments of society such as women, poor rural farmers, refugees and also extends to MSMEs (micro, small and medium enterprises). The importance of legal identity has been acknowledged by the international community through agreement of target 16.9 of the Sustainable Development Goals, which calls for all UN member States to “provide legal identity for all, including birth registration” by 2030.",AreaDigital finance Digital
"Abstract This study evaluates the 2006 environmental clearance (EC) reforms in India. The EC process requires all major capital investment projects by the private sector or government to seek regulatory approval prior to beginning construction. It is the centrepiece of environmental regulation of development projects in India. This study had two objectives: first, to evaluate the impacts of the EC reform process that created the modern two-tracked clearance system for small versus large projects; and second, to provide proof of concept for the use of remote-sensing data to monitor mines’ environmental compliance.",AreaData systems and
"Abstract Recent advances in the scope and sophistication of identification systems could have far-reaching consequences for development. At their best, ID systems can advance the Sustainable Development Goals by helping to realize individual rights, build state capacity, improve accountability, and expand opportunity. But their success is not guaranteed. At their worst, ID systems can exclude vulnerable groups, support institutionalized discrimination, and facilitate the exploitation of personal data.",AreaE-government E-governmentInterventions that
"Abstract Access to identification is a vital priority. In developing countries, persons with disabilities are among those most likely to face barriers in accessing government services such as health and rehabilitation, public transportation, education, voting, financial services, and economic opportunities. For women and girls with disabilities and other persons with disabilities with intersecting identities, these barriers are multidimensional. Addressing poverty among persons with disabilities and their families requires solutions that address their differentiated and sometimes complex needs, a precondition of which is possessing official proof of identity. This report provides a model of the continuous nature of the ID lifecycle, suggesting some illustrative approaches to designing a disability-inclusive ID process at any stage in the lifecycle. The ID lifecycle comprises five phases, each allowing for disability-inclusive interventions. The five phases are: (1) planning and design; (2) outreach and engagement; (3) enrollment; (4) use of ID; (5) and monitoring and evaluation. The cycle presents examples of continuous activities which should be regularly revisited to ensure that ID systems are accessible to people with disabilities regardless of the stage of implementation of the ID system. While not exhaustive, and recognizing that country contexts differ, this cyclical model can be a useful planning tool, much like that used across the world by electoral commissions for inclusive voter registration.",AreaDigital inclusion Digital
Abstract The study evaluates the effect of alternate wetting and drying (AWD) water management technique relative to conventional flood irrigation in rice on farm incomes and water savings in Bangladesh,AreaData systems and
"Abstract Earlier this year we undertook a field study of Krishna district of Andhra Pradesh (AP), together with collaborators from Microsave, to understand the experience and perceptions around digital governance reforms. Krishna, and AP more generally, are considered as among the leading areas to adopt digital technologies, including for ID and payments, and to reform public service delivery over the past decade. Most government services and subsidies are now linked to Aadhaar, India’s national biometric ID system. AP has also taken steps to minimize exclusion due to technology and has implemented real-time monitoring to improve service delivery.",AreaDigital inclusion Digital
"Abstract India has emerged as a leader in building on its biometric digital ID (Aadhaar) to reform service and program delivery. It moved quickly to consolidate the rollout of Aadhaar, and then to embed the unique Aadhaar number into program databases. A range of applications, including digital signature and payments, was then constructed on top of the Aadhaar foundation (the India Stack). Together with partners, the Center for Global Development is analyzing the effects of Aadhaar-based reforms. India offers lessons for many other countries as their focus evolves from rolling out an ID system towards using it to improve the efficiency and inclusivity of service delivery. Some programs using Aadhaar are federally administered but others are implemented at state level.",AreaDigital inclusion Digital
"Abstract Cityscapes across the global South, following historical trends in the North, are increasingly being littered by closed-circuit television (CCTV) cameras. In this paper, we study the wholesale implementation of CCTV in New Delhi, a city notorious for incredibly high rates of crime against women. The push for CCTV, then, became one of many approaches explored by the state in making the city safer for women.",AreaPolicy and regulation
"Abstract Do social networks matter for the adoption of new political communication technologies? We collect complete social network data for sixteen Ugandan villages where an innovative reporting mobile platform was recently introduced, and show robust evidence of peer effects on technology adoption. However, peer effects were not observed in all networks. We develop a formal model showing that while peer effects facilitate adoption of technologies with minimal externalities (like agricultural practices), it can be more difficult for innovations with significant positive externalities to spread through a network. Early adopters might exaggerate benefits, leading others to discount information about the technology’s value. Thus, peer effects are likely to emerge only where informal institutions support truthful communication. We show that the observable implications of our model are borne out in the data. These impediments to social diffusion might help explain the slow and varied uptake of new political communication technologies around the world.",AreaDigital information services
"Abstract Since its adoption in December 2015 by the 21st Conference of Parties (COP21), within the United Nations Framework Convention on Climate Change (UNFCCC), 175 countries to date have ratified the Paris Agreement. These countries have made commitments Nationally Determined Contributions (NDCs), in some cases contingent on financing by developed countries, to limit or reduce their Greenhouse gas (GHG) emissions through a variety of measures including more significant deployment of renewable power, energy efficiency, land-use controls such as conservation of forests and grasslands, carbon pricing, and other measures compatible with each country’s national circumstances and capabilities. Even with full ratification of the Agreement by all 197 signatories, the aggregate effect is projected only to slow the rate of GHG emissions growth from the 24 percent increase, between 1990 and 2010, to an anticipated increase between 2010 and 2030 of between 11 and 23 percent. To foster higher ambition and sustainable development, and also encourage large-scale financing towards the most effective mitigation measures, Article 6 of the Agreement recognizes that countries may engage in cooperative approaches, including the use of internationally transferred mitigation outcomes (ITMOs) towards their individual NDC. In this new, complex and diverse environment, this paper aims to examine emerging digital technologies and architectures that could be used to enhance and connect the heterogeneous climate actions across countries, thereby supporting post-2020 climate markets that facilitate the most cost-effective achievement of the highest possible ambition. Given the speed with which information technology, system architectures, domestic policy, and other relevant elements are developing, the roadmap laid out in this paper will likely continue to evolve significantly over the next few years.",AreaDigital finance Digital
Abstract This playbook is meant to equip USAID staff and implementing partners to develop and pursue effective private sector engagement (PSE) in the context of digital finance/FinTech and financial inclusion. The playbook is intended to be a tool for brainstorming during program design and PSE as USAID Missions develop programming related to inclusive digital economies.,AreaDigital finance Digital
"Abstract Explores the importance and influence of trust in the adoption of new technologies, focusing particularly on how trust (or lack thereof) informs women’s experiences with DFS. This paper examines ways to develop trust at the individual user, or micro, level while recognizing that issues at the community (meso) and policy (macro) levels may also influence access and use of financial services and technology by women.",AreaDigital finance Digital
"Abstract In recent decades, the growth of information and communications technologies (ICT) and the move toward the digitalization of trade and global value chains has been radically transforming the global trade scene, with important implications for women engaged in trade. In order to identify adequate measures to reduce gender disparities, this paper reviews and discusses evidence from the existing literature, as well as presents evidence from several new empirical analyses. It also introduces two new frameworks to analyze the gender dimensions of e-commerce. Digital technologies have the potential to empower women socially and economically by creating new employment and entrepreneurial opportunities, removing trade barriers for women, enhancing access to finance and information and optimizing their business processes. For example, e-commerce substantially lowers the barriers to entry for micro-, small- and medium sized enterprises by reducing the investment needed to launch and run a business. Digital solutions that remove the need for face-to-face interactions when trading can help reduce the difficulties women business owners face, such as mobility constraints, discrimination, and in some countries even violence. As workers, digital technologies may help women overcome time and mobility constraints by connecting women to work from different locations and in flexible hours through emails, instant messaging and tele-conferences. It will also benefit women as consumers by saving time, providing access to information, reducing transaction costs, or giving them more control over the purchasing process. Yet, technology is not the silver bullet in resolving all the gender gaps in trade. This is because women’s access and use of ICTs and digital technologies tend to lag in contrast to men. The benefits of digital technologies hinges on well-designed and specifically targeted policies.",AreaDigital inclusion Digital
"Abstract In Tanzania and Indonesia, we promoted the expansion of mobile savings accounts among women microentrepreneurs and provided them with business related training. In doing so, we simultaneously relaxed supply and demand side constraints to savings that women might face.",AreaDigital finance Digital
"Abstract China has been proactively investing in ICT development in recent decades. From late 2015, China started implementing pilot telecommunication service projects and further
integrating 4G network into these pilot projects with more focus on poor villages. Meanwhile, there is abundant papers research on ICT for development. However, the link between ICT and broader social welfare such as women empowerment is still not explicit, especially with sparse empirical evidence on their relationship. In this context, we first examine the possible mechanism and channels under which ICT
may contribute to women empowerment. Then we use two-year panel dataset, collected from farm household in poor rural China during 2015-2018, to regress the women empowerment indicator and ICT adoption in addition to a set of control variables, gaining a fixed effects estimator to evaluate possible effect of ICT application on
women empowerment. For possible endogeneity, we further identify an instrument to solve the issue. Although ICT has the potentials of changing women in all aspects, the empirical results from our sample haven’t shown significant effect of ICT on women empowerment, which implies that it may be a challenge for women to transform technologies into income generating activities, and economic earnings don’t necessarily change the gender relation in a household for a short term. The insignificant results also inform policies and government initiatives aimed at using ICT tools for development outcomes especially from gender perspective.",AreaDigital inclusion Digital
"Abstract Proof of identity is vital in modern society. Individuals need identity documents to participate in many aspects of civil, political, and economic life. These include obtaining a job in the formal sector, opening a bank account, borrowing from a financial institution, and owning a property or a business in addition to traveling, voting, and gaining access to health and social welfare services. For women and girls, legal identity is a stepping stone to empowerment, agency, and freedom of movement. Hence, it is a vital enabler of Sustainable Development Goal (SDG). Achieve gender equality and empower all women and girls. However, many women and girls do not have access to legal identity. Globally, it is estimated that 1 billion people are unable to prove their identity, and millions more have forms of identification that cannot be reliably verified or authenticated (World Bank 2015). This paper explores how gender-based legal differences and nationality laws limit women’s ability to obtain identification for themselves, their children, and, in the case of nationality laws, their spouses too. It brings together data and analysis produced by agencies working on legal barriers that pertain to their mandates, for example, the United Nations Children’s Fund (UNICEF) on birth registration, the United Nations High Commissioner for Refugees (UNHCR) on statelessness, and the evidence produced by the World Bank Group’s Women, Business and the Law and other legal sources. Its aim is to provide a comprehensive overview of the extent of gender-based legal barriers against women to ID and what is known about their impact on women, children, and excluded groups.",AreaData systems and
"Abstract Low-income women disproportionately lack access to credit in developing countries, often because they are less likely to have credit histories, property rights, or formal earnings. Researchers are partnering with a bank and a mobile money operator in the Dominican Republic to evaluate the impact of credit scoring models designed specifically for women on access to credit. Little research exists on the impact of increasing access to credit for women who would not qualify for credit by traditional screening. By developing and evaluating a novel algorithm, this research seeks to provide evidence on how to effectively expand access to credit for women and potentially increase their financial empowerment.",AreaDigital finance Digital
"Abstract While digital technology can help adolescents promote their rights, access information and participate in society, it also comes with risks of exploitation and abuse. There is a dearth of information on how adolescents working in the adult entertainment sector (AES) use the digital technology and its impact on their well-being. This brief aims to bridge the information gap to safeguard vulnerable adolescents working in the AES from the negative impacts of technology use and help them to leverage technology for their protection.",AreaChild Protection Child
"Abstract While the digital revolution is reaching rural areas in many developing countries, the rural digital divide continues to present considerable challenges. The problem is even more acute for women, who face a triple divide: digital, rural and gender. This publication looks at the benefits of Information and Communication Technologies (ICTs) when placed in the hands of men and women working in agriculture and in rural areas. It examines the challenges to be overcome and makes recommendations so that rural communities can take full and equal advantage of the technologies. FAO’s E-agriculture 10 Year Review Report on implementation of the World Summit on the Information Society (WSIS) of the Action Line C7. ICT Applications: e-agriculture concludes that while substantial progress has been made in making ICTs available and accessible for rural communities, challenges remain with respect to the following seven critical factors for success: content, capacity development, gender and diversity, access and participation, partnerships, technologies, and finally, economic, social, and environmental sustainability. This publication analyses with the gender lens the seven factors of success, followed by an overview of the general existing barriers to women’s access to, control and use of ICTs. Finally, it offers a series of recommendations for better integration of gender in ICT initiatives, based on gender mainstreaming throughout the seven critical factors of success, illustrated with concrete examples.",AreaDigital inclusion Digital
"Abstract Advances in information and communication technologies (ICTs) have made information available to more people than ever before. These advances have also substantially increased their capacity to connect with each other in a continuously expanding number of ways. Rural women are currently (and have always been) last in line in terms of ICT access and use, even though women stand more to gain than most from active participation and engagement with these resources. Evidence suggests that the ICT sector is both urban- and male-centric, ranging from the design of  ICTs to the gender of sector employees and decision-makers. Representation in the media is also predominantly male. The aim of this paper is to bring rural communities, and women and other marginalized groups in particular, back into the centre of conversations on ICTs and ICT4D.",AreaDigital inclusion Digital
"Abstract The study assesses how ICT modulates the effect of inequality on female economic participation in a panel of 42 countries in sub-Saharan Africa over the period 2004–2014. Three inequality indicators are used, namely: the Gini coefficient, the Atkinson index and the Palma ratio. The adopted ICT indicators are mobile phone penetration, internet penetration and fixed broadband subscriptions. Three gender economic inclusion indicators are also used for the analysis, namely: female labour force participation, female unemployment and female employment. The Generalised Method of Moments is employed as empirical strategy.",AreaPolicy and regulation
"Abstract The Gender and Inclusion Strategy 2020-2023 of the International Water Management Institute (IWMI) supports implementation of the IWMI Strategy 2019-2023. This is done by ensuring that gender equality and inclusion are central to the Institute’s three Strategic Programs – water, food and ecosystems; water, climate change and resilience; and water, growth and inclusion – and to its fourth crosscutting program pillar on digital innovations. IWMI’s mission is to provide water solutions for sustainable, climate-resilient development. This responds to international policy concerns about global systems changing in ways that heighten the vulnerability of millions of poor people, impact on species diversity, and ultimately, risk future achievement of the United Nations Sustainable Development Goals (SDGs). Our action plan will be the foundation for the three pillars of this Strategy: (i) bridging knowledge gaps, (ii) fixing systems, and (iii) catalyzing transformation. We will build on the work carried out by IWMI’s three Strategic Programs, as well as its fourth crosscutting program pillar on digital innovations.",AreaDigital infrastructure development
"Abstract This study examined the role of information and communication technologies (ICTs) in the marketing of grains among women in Benue State. Primary data was collected from 104 women grain marketers in Makurdi LGA, Benue State, Nigeria. Likert-scale rating was used to group data after which one-sample t-test was used for analysis together with mean, frequencies and percentages and correlation.",AreaDigital inclusion Digital
"Abstract In recent decades, the growth of information and communications technologies (ICT) and the move toward the digitalization of trade and global value chains has been radically transforming the global trade scene, with important implications for women engaged in trade. In order to identify adequate measures to reduce gender disparities, this paper reviews and discusses evidence from the existing literature, as well as presents evidence from several new empirical analyses. It also introduces two new frameworks to analyze the gender dimensions of e-commerce. Digital technologies have the potential to empower women socially and economically by creating new employment and entrepreneurial opportunities, removing trade barriers for women, enhancing access to finance and information and optimizing their business processes. For example, e-commerce substantially lowers the barriers to entry for micro-, small- and medium sized enterprises by reducing the investment needed to launch and run a business. Digital solutions that remove the need for face-to-face interactions when trading can help reduce the difficulties women business owners face, such as mobility constraints, discrimination, and in some countries even violence. As workers, digital technologies may help women overcome time and mobility constraints by connecting women to work from different locations and in flexible hours through emails, instant messaging and tele-conferences. It will also benefit women as consumers by saving time, providing access to information, reducing transaction costs, or giving them more control over the purchasing process. Yet, technology is not the silver bullet in resolving all the gender gaps in trade. This is because women’s access and use of ICTs and digital technologies tend to lag in contrast to men. The benefits of digital technologies hinges on well-designed and specifically targeted policies.",AreaDigital inclusion Digital
"Abstract Donors and DFIs are looking for ways to leverage the potential of data to achieve financial inclusion impact. Yet, evidence shows that the availability and quality of data doesn’t automatically translate to impact. This online tool created for donors and DFIs takes approximately 45 minutes. Instructions are provided to download a version for offline viewing.  Click on the image below to get started.",AreaDigital inclusion Digital
"Abstract An evolving API strategy helps digital financial services (DFS) providers get started with opening APIs without overinvesting before returns can be demonstrated. A clear API strategy will assist a DFS provider to cultivate an API ecosystem, in which third parties are building new products and services that reach low income customers as well as new markets. Understanding the API maturity model can help a DFS provider move from one-off integrations to an iterative process of building open APIs, in which continual learning informs an API strategy that generates new revenue opportunities and helps third parties to develop products that bring more people into the financial system. This Technical Note helps DFS internal stakeholders understand how to evolve an API strategy along the API maturity model spectrum, where increased investment in open APIs is matched with benefits returned to the business overall, and to API ecosystem partners.",AreaPolicy and regulation
"Abstract This report focuses on how country offices can embed digital financial services (DFS) into their practices and processes using the case study of USAID. USAID considers DFS to be a means of accelerating development and supporting a country’s journey to self-reliance. USAID is a decentralized donor and consequently, its DFS practice seeks to influence country offices to incorporate DFS into their programming to support the achievement of broader development goals. But how can a small technical team at headquarters influence a large decentralized organization to prioritize DFS?",AreaDigital inclusion Digital
"Abstract In many aid projects, monitoring and evaluation is a static exercise driven by donor reporting requirements. After project closure, there are seldom sustainable benefits of the monitoring and evaluation system. This paper examines how monitoring and evaluation can be transformed into a dynamic tool for effective project management, with benefits carrying over beyond the typical project lifecycle. The paper assesses an innovative, digital management information system developed under the Women Entrepreneurship Development Project, a Government of Ethiopia initiative financed by a World Bank International Development Association loan and grant funding from Global Affairs Canada. The paper examines the context of the development of the management information system, its effectiveness, and its potential for sustainability. Ethiopia is among the poorest countries in the world, and government administration units involved in administering projects often face funding and resource shortfalls. The paper demonstrates how effective and sustainable monitoring and evaluation systems can be developed even in challenging contexts such as these, by focusing on simple technical solutions that can be maintained and refined locally, ensuring low development and maintenance costs compatible with government monitoring and evaluation budgets, and linking project-level monitoring and evaluation to broader government operations.",AreaData systems and
"Abstract This report covers the use of digital technologies for programmes and for monitoring and evaluation (M&E) in FCAS. It shows how digital technologies have a wide range of potential uses in both peacebuilding programmes and in the reconstruction of post-conflict states. These uses should be informed by key principles such as DFID’s endorsement of the Principles for Digital Development, a commitment to understanding the digital context and a consideration of the privacy and security of the data of people caught up in conflict. However, a review of the literature shows that there is little best practice yet for evaluating the effect of technology tools on peacebuilding. In terms of M&E, the literature consistently highlights the problems caused by lack of data in FCAS but there are also significant challenges in collecting and storing data in line with the goals of the Responsible Data movement. There are significant risks posed by humanitarian and development actors using data-intensive approaches without due consideration of the risks to beneficiaries that these approaches might involve. The sheer amount of data being collected on beneficiaries of humanitarian assistance has led to what has been described as a ‘dataholic’ environment in the sector: with an urgent need to increase understanding of how these data-intensive systems and the use of technology is affecting individuals and communities.",AreaData systems and
"Abstract Industrial activity creates jobs, catalyzes investments and innovation, and raises standards of living in many countries. As climate change, and natural disasters intensify, so too does the risk environment for industry activity. More recently, a viral pandemic has threatened industries and national economies, and the imperative to secure business continuity and competitiveness during growing instability has thrust resilience into the spotlight. The suite of risks posed by climate change and natural disasters threatens industry’s potential to grow, generate jobs, and compete. For many developing countries, disaster-related liabilities may exceed the capacity of governments to respond, and even national economies may be threatened. The emergence of industry resilience as a global discourse is timely; however, industry resilience is a nascent discipline, and frameworks for its application and operation remain limited even as threats intensify. Disasters offer the opportunity, with the right frameworks in place, to strengthen competitiveness through build back, better initiatives, and to adapt to long-term climate change and disaster risks. Despite these insights, and the urgency to act, however, the evidential basis for policy intervention and conceptual frameworks for industry resilience are far from definitive, and gaps in knowledge remain. As a result, industry resilience policy and action remain low in both the public and private sectors, and firms and economies still face significant costs of inaction.",AreaDigital information services
"Abstract In response, countries have scrambled to setup systems that track health and economic indicators and monitor equity and mobility issues that may have been caused by government action. Yet as ministries of education plan their recovery, many rely on data systems which fail to provide the information needed to target attention; and as planners seek to learn from past emergencies in similar contexts, they are finding that public data on basic indicators like re-enrolment and teacher supply do not exist. Beyond urgent needs, our current crisis is drawing attention to long-standing flaws in education data systems.",AreaData systems and
"Abstract The study evaluates a technology-enabled community monitoring intervention to enhance the detection, monitoring and reporting capability of local communities in their territories to strengthen their ability to produce socio-environmental claims and receive adequate compensation. The study estimated the impact of community monitoring and reporting on increased instances of detection of environmental liabilities and reporting to state authorities, and coverage by the media.",AreaDigital inclusion Digital
"Abstract Bihar’s initiative addressed a critical need for cash assistance that had to be designed, directed and delivered digitally. We do not, however, have enough data to make a judgement on its efficiency and impact. Specifically, we would like to obtain weekly registration and payment information to understand how well the scheme design translated into actual disbursement. Also, we are not aware of any beneficiary level surveys that can help us assess the experience and impact of the scheme along the social transfer value chain. Finally, it would be helpful to understand measures put in place to reduce exclusion (there are reports of difficulty in accessing the helpline) and obtain feedback, and whether such processes were used to re-design the program and make it more effective and efficient.",AreaData systems and
"Abstract In an increasingly digital world, relatively privileged people are able to use their access to mobile and internet technologies to access clear digital dividends including remote access to health and education information, financial inclusion and digital pathways to economic and political empowerment. However, already disadvantaged people have less access, agency and ability to reap these digital dividends, and are being left further and further behind. One third of the world's population do not own a mobile phone, and 50% of the global population have no internet. A series of digital divides is adding new digital dimensions to poverty in the twentieth century. Development professionals require new diagnostic tools to analyse the digital access and everyday technology practices of those being left behind in their area of work. New research is necessary to understand the development implications in this dynamic space, including the impact of artificial intelligence (AI) on governance and work automation on employment and growth.",AreaDigital inclusion Digital
"Abstract School closures affecting more than 1.5 billion children are designed to prevent the spread of current public health risks from the COVID-19 pandemic, but they simultaneously introduce new short- and long-term health risks through lost education. Measuring these effects in real-time is critical to inform effective public health responses, and remote phone-based approaches are one of the only viable options with extreme social distancing in place. However, both the health and education literature are sparse on guidance for phone-based assessments. In this article, we draw on our pilot testing of phone-based assessments in Botswana, along with the existing literature on oral testing of reading and mathematics, to propose a series of preliminary practical lessons to guide researchers and service providers as they try phone-based learning assessments.",AreaData systems and
"Abstract The paper scrutinises the intersection of data and spatial injustice in Iran by analysing the way traffic camera footage is used against female drivers with improper veiling. Considering compulsory hijab and policing of it as a spatial injustice that limits and disturbs women’s
access to public places, the case study examines ways of resistance that address spatial|data injustice: firstly, a mobile phone application called Gershad that uses collective mapping to pin moral police patrols on maps by users; secondly, a social media campaign called White Wednesdays that encourages women to film and share their public strolls without hijab, their confrontations with religious pro-regime people, and videos of singing, dancing and cycling in public spaces.",AreaPolicy and regulation
"Abstract This paper draws on ongoing research into the datafication of informal settlements in South Africa, including interviews with data activists and experiences of conducting a 360° geovisual imagery pilot study in Kya Sands informal settlement in Johannesburg. In first drawing attention to the limitations of quantitative data for representing injustice and the problematic effects of conventional framed photographs of informality from aerial and ground-level perspectives, this paper explores the possibilities of ground-level 360° imagery as a realist, non-reductionist form of representation for informal settlements. Three 360° street views were produced to illustrate key possibilities and limitations for advancing recognition, based on the notion that visibility is essential for recognition. Further, the piece reflexively critiques how – through new advancements in image analytics – informal settlement visibility projects risk further engendering injustices of misrecognition for these highly marginalized urban spaces.",AreaData systems and
"Abstract The continued use of information technology systems by small and medium enterprises (SMEs) in developing countries has the potential to bring significant benefits but, at the same time, expose them to online cybersecurity threats. Addressing these threats is, therefore, of paramount importance for developing countries, not only because SMEs are seen as the vehicle for employment and job creation, but because research on SMEs and cybersecurity in this context is limited. This study is a contribution toward addressing this gap. The purpose of this study is, therefore, to explore SME cybersecurity practices and the challenges they face in developing countries. The goal is to sensitize practitioners and government institutions about the challenges and practices faced by SMEs, so that the various parties can work collaboratively in providing context-specific solutions to address these challenges and improve current cybersecurity practices.",AreaCybersecurity CybersecurityInterventions that
"Abstract The increasing availability of low-cost mobile phones and mobile Internet access in emerging markets has led to widespread use of social media platforms, making them an important source of news and place for social and political activity. This trend has brought many new users online including those with limited exposure to technology. Concurrently, we have also observed an increasing trend in the spread of misinformation on such platforms. The spread of misinformation can create and exacerbate polarization, while also affecting the beliefs and actions of users without a prior ideological leaning. We carry out a household level survey which provides unique first-hand evidence on the trends in social media use, sharing of news, and spread of misinformation among low and middle-income users in Pakistan. Using a list of actual news stories circulated on social media we create a test to measure the extent to which users are likely to believe and share misinformation. We evaluate the effectiveness of two interventions for countering misinformation in a randomized control setting. Our first intervention educates users about common features of misinformation through a video, while our second intervention in addition to the video provides specific feedback to users about their own past behaviour in engaging with misinformation. We measure the effectiveness of our interventions on future behaviour of participants in believing and sharing misinformation.",AreaDigital information services
Abstract This study evaluated the International Rescue Committe's (IRC's) Fifth Child integrated community engagement strategy to improve immunisation coverage in Northern Uganda.,AreaDigital inclusion Digital
"Abstract PATH’s Projecting Health, a multi-component intervention, aimed to train community members to design and produce culturally appropriate, ‘hyper-local’ videos with tailored behaviour change communication messaging to target root causes of sub-optimal health seeking behaviours. These videos were co-created by a local community-based organisation, community health workers, called Accredited Social Health Activists or ASHAs, and village women.",AreaDigital inclusion Digital
Abstract The Business Women Connect (BWC) program was designed by TechnoServe to improve the business performance of women microentrepreneurs by providing them with improved access to savings through mobile money and business training. We work with TechnoServe to evaluate the BWC program in Tanzania using a randomized control trial. The implementation of the intervention was tailored to evaluate the effectiveness of access to mobile savings with and without business training.,AreaDigital finance Digital
"Abstract This rapid review examines evidence on how the Iraqi government can simplify or provide temporary civil documentation to IDPs in protracted displacement. Conflict and violence are the main triggers of internal displacement; therefore, information is provided on such countries with protracted displacement. Practical solutions used effectively by them is also included. If national governments are unable or unwilling to meet their responsibilities, the international community has a role to play in promoting and reinforcing efforts to ensure protection, assistance and solutions for IDPs. Therefore, most of the literature available is focused towards the needs of the IDPs, as well as the assistance provided by these agencies, e.g. the United Nations (UN). Evidence is mainly for both refugees and IDPs - in some cases the terms are used inter-changeably. In order to simplify the documentation process, advances in digital technology are resulting in new approaches, e.g. introduction of centrally-based identity systems by governments around the world. As this review is focusing on Iraq, the government could also accept testimonies of mukhtars (local mayors), recommending citizens and affirming their place of residence, as an acceptable official document as a temporary solution to security clearance. This could prevent potential problems due to movement from place of origin. Multi-country evidence proves that updating policies with inclusivity is a necessary but complex and longer-term process disability and gender-based discrimination in existing Iraqi laws and practices regarding civil registration, as well as the provision of nationality legal documentation, need to be addressed. However, no evidence was found to see if this is currently the case. Likewise, data allowing use of expired documentation will also need further investigation.",AreaE-government E-governmentInterventions that
"Abstract This policy note synthesises findings from the Gender and Adolescence: Global Evidence (GAGE) programme’s 2019/2020 round 2 data collection to explore changes in Ethiopian adolescents’ access to voice and agency in the midst of the country’s dramatic political transformation. It uses mixed-methods research that includes a survey (with 7,538 adolescents and their caregivers) and 601 qualitative interviews (with adolescents, parents and service providers). Respondents were from three diverse rural regions – South Gondar (Amhara), East Hararghe (Oromia) and Zone 5 (Afar) – as well as three very different urban areas (Debre Tabor in Amhara, Batu in Oromia and Dire Dawa City Administration). We pay careful attention to gender and regional differences in how young people between the ages of 12 and 20 are accessing decision-making opportunities within the family and community. We also explore changes in adolescents’ mobility and access to safe space, and social interactions with peers, their access to age-appropriate information and digital technology, and to inspirational role models. We then discuss key actions needed to accelerate progress, especially for girls, if Sustainable Development Goal (SDG) 5 – ‘women’s full and effective participation and equal opportunities for leadership at all levels’ – is to be achieved.",AreaDigital inclusion Digital
